fishingMethodCodeAppliedByFA	taxonID	fishingQuantityInTon	year
106	1601	NA	2003
108	1601	NA	2003
199	1601	NA	2003
201	1601	NA	2003
202	1601	NA	2003
203	1601	NA	2003
204	1601	1999 	2003
205	1601	622 	2003
206	1601	NA	2003
209	1601	NA	2003
211	1601	NA	2003
212	1601	1233 	2003
213	1601	NA	2003
214	1601	113 	2003
219	1601	76 	2003
221	1601	NA	2003
299	1601	NA	2003
301	1601	0 	2003
302	1601	NA	2003
303	1601	NA	2003
304	1601	98 	2003
305	1601	62 	2003
306	1601	96 	2003
307	1601	369 	2003
308	1601	23 	2003
309	1601	NA	2003
310	1601	15 	2003
399	1601	NA	2003
101	1602	NA	2003
102	1602	NA	2003
103	1602	NA	2003
104	1602	NA	2003
106	1602	NA	2003
108	1602	NA	2003
199	1602	NA	2003
201	1602	NA	2003
202	1602	NA	2003
203	1602	NA	2003
204	1602	590 	2003
205	1602	63 	2003
206	1602	NA	2003
209	1602	2 	2003
211	1602	NA	2003
212	1602	500 	2003
213	1602	NA	2003
214	1602	8 	2003
219	1602	29 	2003
221	1602	NA	2003
299	1602	2 	2003
301	1602	NA	2003
302	1602	NA	2003
303	1602	NA	2003
304	1602	107 	2003
305	1602	NA	2003
306	1602	522 	2003
307	1602	353 	2003
308	1602	43 	2003
309	1602	NA	2003
310	1602	13 	2003
399	1602	NA	2003
101	1603	NA	2003
102	1603	NA	2003
103	1603	NA	2003
104	1603	NA	2003
106	1603	NA	2003
108	1603	NA	2003
199	1603	NA	2003
201	1603	NA	2003
202	1603	NA	2003
203	1603	NA	2003
204	1603	73 	2003
205	1603	32 	2003
206	1603	NA	2003
209	1603	NA	2003
211	1603	NA	2003
212	1603	28 	2003
213	1603	NA	2003
214	1603	NA	2003
219	1603	16 	2003
221	1603	NA	2003
299	1603	NA	2003
301	1603	NA	2003
302	1603	NA	2003
303	1603	NA	2003
304	1603	24 	2003
305	1603	NA	2003
306	1603	32 	2003
307	1603	2 	2003
308	1603	26 	2003
309	1603	NA	2003
310	1603	5 	2003
399	1603	NA	2003
101	1604	NA	2003
102	1604	NA	2003
103	1604	NA	2003
