WGS84Lati,WGS84Long,year,CommonName,Date,數量(隻),記錄方式
24.9626,121.3651,2011,新北市 鶯歌區,2011/9/23,1,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/9/23,3,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/9/23,4,目視
25.1676,121.4142,2011,新北市 八里區,2011/10/1,33,目視
25.1676,121.4142,2011,新北市 八里區,2011/10/1,8,目視
25.1676,121.4142,2011,新北市 八里區,2011/10/1,30~39,聽音
25.0991,121.4321,2011,新北市 五股區,2011/10/7,1,目視
24.9437,121.3131,2011,桃園市 八德區,2011/10/8,1,目視
24.9437,121.3131,2011,桃園市 八德區,2011/10/8,1,目視
24.9437,121.3131,2011,桃園市 八德區,2011/10/8,1,目視
25.0994,121.4319,2011,新北市 五股區,2011/10/17,1,目視
24.9988,121.337,2011,桃園市 龜山區,2011/10/27,2,目視
24.9841,121.353,2011,桃園市 龜山區,2011/10/28,1,目視
24.9841,121.353,2011,桃園市 龜山區,2011/10/28,3,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/10/28,2,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/10/28,1,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/10/28,1,目視
24.264,120.8139,2011,台中市 石岡區,2011/10/29,1,目視
24.264,120.8139,2011,台中市 石岡區,2011/10/29,1,目視
23.9036,120.5278,2011,彰化縣 田尾鄉,2011/10/29,3,目視
23.9036,120.5278,2011,彰化縣 田尾鄉,2011/10/29,1,目視
23.9036,120.5278,2011,彰化縣 田尾鄉,2011/10/29,1,目視
23.9036,120.5278,2011,彰化縣 田尾鄉,2011/10/29,5,目視
23.907,120.5283,2011,彰化縣 田尾鄉,2011/10/29,5,目視
23.907,120.5283,2011,彰化縣 田尾鄉,2011/10/29,1,目視
23.907,120.5283,2011,彰化縣 田尾鄉,2011/10/29,2,目視
24.9822,121.3578,2011,桃園市 龜山區,2011/10/30,1,目視
24.9822,121.3578,2011,桃園市 龜山區,2011/10/30,1,目視
24.9822,121.3578,2011,桃園市 龜山區,2011/10/30,1,目視
25.1677,121.4165,2011,新北市 八里區,2011/11/12,1,目視
25.1677,121.4165,2011,新北市 八里區,2011/11/12,1,目視
25.1677,121.4165,2011,新北市 八里區,2011/11/12,2,目視
25.1677,121.4165,2011,新北市 八里區,2011/11/12,2,目視
25.1677,121.4165,2011,新北市 八里區,2011/11/12,3,目視
25.1677,121.4165,2011,新北市 八里區,2011/11/12,1,目視
25.1677,121.4165,2011,新北市 八里區,2011/11/12,4,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/11/25,1,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/11/25,1,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/11/25,1,目視
24.9657,121.3669,2011,新北市 鶯歌區,2011/11/25,1,目視
23.9036,120.5278,2011,彰化縣 田尾鄉,2011/11/26,2,目視
23.9036,120.5278,2011,彰化縣 田尾鄉,2011/11/26,8,目視
23.9036,120.5278,2011,彰化縣 田尾鄉,2011/11/26,1,目視
23.9036,120.5278,2011,彰化縣 田尾鄉,2011/11/26,1,目視
23.9036,120.5278,2011,彰化縣 田尾鄉,2011/11/26,3,目視
23.907,120.5283,2011,彰化縣 田尾鄉,2011/11/26,13,目視
23.907,120.5283,2011,彰化縣 田尾鄉,2011/11/26,5,目視
23.907,120.5283,2011,彰化縣 田尾鄉,2011/11/26,2,目視
23.907,120.5283,2011,彰化縣 田尾鄉,2011/11/26,2,目視
23.907,120.5283,2011,彰化縣 田尾鄉,2011/11/26,1,目視
25.1039,121.4285,2011,新北市 五股區,2011/12/15,1,目視
25.0991,121.4321,2011,新北市 五股區,2011/12/15,1,目視
25.0994,121.4319,2011,新北市 五股區,2011/12/15,1,目視
23.907,120.5283,2011,彰化縣 田尾鄉,2011/12/24,1,目視
23.907,120.5283,2011,彰化縣 田尾鄉,2011/12/24,4,目視
23.9036,120.5278,2011,彰化縣 田尾鄉,2011/12/24,1,目視
25.1677,121.4165,2012,新北市 八里區,2012/1/7,1,目視
25.1677,121.4165,2012,新北市 八里區,2012/1/7,1,目視
25.0996,121.4319,2012,新北市 五股區,2012/1/7,1,目視
25.104,121.4282,2012,新北市 五股區,2012/1/7,1,目視
24.9626,121.3651,2012,新北市 鶯歌區,2012/1/13,1,目視
25.0991,121.4321,2012,新北市 五股區,2012/1/18,1,目視
25.0991,121.4321,2012,新北市 五股區,2012/1/18,1,目視
24.9841,121.353,2012,桃園市 龜山區,2012/1/29,1,目視
24.9841,121.353,2012,桃園市 龜山區,2012/1/29,1,目視
25.1677,121.4165,2012,新北市 八里區,2012/2/11,1,目視
25.104,121.4282,2012,新北市 五股區,2012/2/11,1,聽音
25.0403,121.3992,2012,新北市 新莊區,2012/3/6,1,目視
25.0403,121.3992,2012,新北市 新莊區,2012/3/6,2,目視
25.0403,121.3992,2012,新北市 新莊區,2012/3/6,5,聽音
25.1677,121.4165,2012,新北市 八里區,2012/3/10,1,目視
25.0914,121.4927,2012,新北市 蘆洲區,2012/3/15,1,目視
25.0914,121.4927,2012,新北市 蘆洲區,2012/3/15,1,目視
25.0403,121.3992,2012,新北市 新莊區,2012/3/16,1,目視
25.0403,121.3992,2012,新北市 新莊區,2012/3/16,1,目視
25.0403,121.3992,2012,新北市 新莊區,2012/3/16,2,聽音
22.7388,120.6275,2012,屏東縣 高樹鄉,2012/3/16,2,目視
22.7388,120.6275,2012,屏東縣 高樹鄉,2012/3/16,2,目視
22.7388,120.6275,2012,屏東縣 高樹鄉,2012/3/16,9,目視
22.7388,120.6275,2012,屏東縣 高樹鄉,2012/3/16,13,目視
22.7388,120.6275,2012,屏東縣 高樹鄉,2012/3/16,10~19,聽音
22.7388,120.6275,2012,屏東縣 高樹鄉,2012/3/16,1,目視
24.9919,121.4148,2012,新北市 樹林區,2012/3/20,1,目視
24.9919,121.4148,2012,新北市 樹林區,2012/3/20,1,目視
24.9919,121.4148,2012,新北市 樹林區,2012/3/20,1,目視
24.9626,121.3651,2012,新北市 鶯歌區,2012/3/23,1,目視
24.9626,121.3651,2012,新北市 鶯歌區,2012/3/23,1,目視
24.9626,121.3651,2012,新北市 鶯歌區,2012/3/23,3,目視
24.9626,121.3651,2012,新北市 鶯歌區,2012/3/23,1,目視
24.9626,121.3651,2012,新北市 鶯歌區,2012/3/23,1,目視
24.9626,121.3651,2012,新北市 鶯歌區,2012/3/23,1,目視
24.9626,121.3651,2012,新北市 鶯歌區,2012/3/23,1,聽音
24.9626,121.3651,2012,新北市 鶯歌區,2012/3/23,1,目視
24.9626,121.3651,2012,新北市 鶯歌區,2012/3/23,1,目視
24.9626,121.3651,2012,新北市 鶯歌區,2012/3/23,1,目視
24.9626,121.3651,2012,新北市 鶯歌區,2012/3/23,1,目視
24.9626,121.3651,2012,新北市 鶯歌區,2012/3/23,8,目視
24.2477,120.8105,2012,台中市 新社區,2012/3/24,1,目視
23.907,120.5283,2012,彰化縣 田尾鄉,2012/3/25,20~29,聽音
23.907,120.5283,2012,彰化縣 田尾鄉,2012/3/25,1,目視
23.907,120.5283,2012,彰化縣 田尾鄉,2012/3/25,25,目視
23.907,120.5283,2012,彰化縣 田尾鄉,2012/3/25,1,目視
23.907,120.5283,2012,彰化縣 田尾鄉,2012/3/25,2,目視
23.907,120.5283,2012,彰化縣 田尾鄉,2012/3/25,1,目視
23.907,120.5283,2012,彰化縣 田尾鄉,2012/3/25,1,目視
23.907,120.5283,2012,彰化縣 田尾鄉,2012/3/25,1,目視
23.907,120.5283,2012,彰化縣 田尾鄉,2012/3/25,1,目視
23.907,120.5283,2012,彰化縣 田尾鄉,2012/3/25,1,目視
