緯度,經度,年,數量,縣市,鄉鎮,地點
25.040294,121.399177,2012,0,新北市,新莊區,十八份坑溪上游週邊
24.964499,121.447738,2012,0,新北市,土城區,土城彈藥庫
24.964499,121.447738,2012,0,新北市,土城區,土城彈藥庫
24.964499,121.447738,2012,3,新北市,土城區,土城彈藥庫
24.964499,121.447738,2012,0,新北市,土城區,土城彈藥庫
25.014733,121.557421,2012,0,台北市,大安區,富陽公園
25.014733,121.557421,2012,0,台北市,大安區,富陽公園
25.014733,121.557421,2012,0,台北市,大安區,富陽公園
25.014733,121.557421,2012,0,台北市,大安區,富陽公園
25.16793,121.416801,2012,0,新北市,八里區,挖子尾菜園
25.16793,121.416801,2012,78,新北市,八里區,挖子尾菜園
25.16793,121.416801,2012,111,新北市,八里區,挖子尾菜園
25.16793,121.416801,2012,96,新北市,八里區,挖子尾菜園
24.837799,121.310892,2012,0,桃園市,大溪區,白石山
24.837799,121.310892,2012,0,桃園市,大溪區,白石山
24.837799,121.310892,2012,0,桃園市,大溪區,白石山
24.94640059,121.3447769,2012,0,新北市,鶯歌區,尖山路 
24.94640059,121.3447769,2012,31,新北市,鶯歌區,尖山路 
24.94640059,121.3447769,2012,10,新北市,鶯歌區,尖山路 
24.94640059,121.3447769,2012,13,新北市,鶯歌區,尖山路 
24.98406553,121.3529945,2012,0,桃園市,龜山區,福源山步道
24.98406553,121.3529945,2012,8,桃園市,龜山區,福源山步道
24.98406553,121.3529945,2012,1,桃園市,龜山區,福源山步道
24.98406553,121.3529945,2012,0,桃園市,龜山區,福源山步道
24.00305,120.476313,2012,0,彰化縣,埔鹽鄉,稻香生態農園
24.00305,120.476313,2012,0,彰化縣,埔鹽鄉,稻香生態農園
24.00305,120.476313,2012,0,彰化縣,埔鹽鄉,稻香生態農園
24.00305,120.476313,2012,2,彰化縣,埔鹽鄉,稻香生態農園
24.967976,121.607929,2012,0,台北市,文山區,草湳(指南路154段)
24.967976,121.607929,2012,0,台北市,文山區,草湳(指南路172段)
24.967976,121.607929,2012,0,台北市,文山區,草湳(指南路190段)
24.967976,121.607929,2012,0,台北市,文山區,草湳(指南路208段)
25.119162,121.470512,2012,0,台北市,北投區,關渡自然公園
25.119162,121.470512,2012,0,台北市,北投區,關渡自然公園
25.119162,121.470512,2012,0,台北市,北投區,關渡自然公園
25.119162,121.470512,2012,0,台北市,北投區,關渡自然公園
24.95498,121.466391,2013,0,新北市,土城區,山中湖
24.95498,121.466391,2013,0,新北市,土城區,山中湖
24.95498,121.466391,2013,0,新北市,土城區,山中湖
24.95498,121.466391,2013,0,新北市,土城區,山中湖
24.02107,120.597791,2013,0,彰化縣,芬園鄉,八卦山蝴蝶園
24.02107,120.597791,2013,0,彰化縣,芬園鄉,八卦山蝴蝶園
24.02107,120.597791,2013,0,彰化縣,芬園鄉,八卦山蝴蝶園
24.02107,120.597791,2013,0,彰化縣,芬園鄉,八卦山蝴蝶園
25.040294,121.399177,2013,0,新北市,新莊區,十八份坑溪上游週邊
