fishingMethodCodeAppliedByFA	year	fishingQuantityInTon
301	1976	3939 
302	1976	4232 
303	1976	2928 
304	1976	7220 
305	1976	2199 
306	1976	1241 
307	1976	NA
308	1976	2076 
309	1976	3285 
310	1976	NA
312	1976	NA
313	1976	NA
399	1976	5613 
101	1977	60629 
102	1977	144155 
103	1977	NA
104	1977	122527 
105	1977	NA
106	1977	NA
107	1977	NA
108	1977	NA
109	1977	NA
199	1977	9913 
201	1977	36783 
202	1977	2189 
203	1977	21680 
204	1977	187738 
205	1977	15743 
206	1977	760 
209	1977	NA
211	1977	49811 
212	1977	17138 
213	1977	2052 
214	1977	7216 
219	1977	185 
221	1977	53 
222	1977	NA
223	1977	NA
299	1977	1032 
301	1977	2979 
302	1977	3833 
303	1977	3597 
304	1977	8682 
305	1977	1578 
306	1977	1689 
307	1977	1593 
308	1977	NA
309	1977	2563 
310	1977	NA
312	1977	NA
313	1977	NA
399	1977	6565 
101	1978	70465 
102	1978	130910 
103	1978	NA
104	1978	108763 
105	1978	NA
106	1978	NA
107	1978	NA
108	1978	NA
109	1978	NA
199	1978	21014 
201	1978	37048 
202	1978	3990 
203	1978	17840 
204	1978	208756 
205	1978	15720 
206	1978	653 
209	1978	NA
211	1978	43010 
212	1978	16441 
213	1978	7378 
214	1978	3827 
219	1978	190 
221	1978	62 
222	1978	NA
223	1978	NA
299	1978	178 
301	1978	2841 
302	1978	3774 
303	1978	1642 
304	1978	9765 
305	1978	1263 
306	1978	2033 
307	1978	1490 
308	1978	NA
309	1978	2424 
310	1978	NA
312	1978	NA
313	1978	NA
399	1978	6792 
101	1979	78662 
102	1979	127775 
103	1979	NA
104	1979	108650 
105	1979	NA
106	1979	NA
107	1979	NA
108	1979	NA
109	1979	NA
199	1979	26824 
201	1979	25964 
202	1979	20358 
203	1979	26318 
204	1979	206660 
205	1979	18058 
206	1979	903 
209	1979	NA
211	1979	42222 
212	1979	16870 
213	1979	3694 
214	1979	2810 
219	1979	36 
221	1979	109 
222	1979	NA
223	1979	NA
299	1979	706 
301	1979	3268 
302	1979	2423 
303	1979	1242 
304	1979	10431 
305	1979	1625 
306	1979	2180 
307	1979	1312 
308	1979	NA
309	1979	6451 
310	1979	NA
312	1979	NA
313	1979	NA
399	1979	7449 
101	1980	84926 
102	1980	112248 
103	1980	NA
104	1980	119635 
105	1980	NA
106	1980	NA
107	1980	NA
108	1980	NA
109	1980	NA
199	1980	33616 
201	1980	25620 
202	1980	19918 
203	1980	19139 
204	1980	220289 
205	1980	19895 
206	1980	777 
209	1980	NA
211	1980	39047 
212	1980	17534 
213	1980	3972 
214	1980	3174 
219	1980	267 
221	1980	138 
222	1980	NA
223	1980	NA
299	1980	1136 
301	1980	3716 
302	1980	3057 
303	1980	1269 
304	1980	10957 
305	1980	1140 
306	1980	2314 
307	1980	1177 
308	1980	NA
309	1980	7220 
310	1980	NA
312	1980	NA
313	1980	NA
399	1980	6445 
101	1981	70601 
102	1981	119490 
103	1981	NA
104	1981	94926 
105	1981	NA
106	1981	NA
107	1981	NA
108	1981	NA
109	1981	NA
199	1981	36550 
201	1981	33397 
202	1981	17213 
203	1981	23735 
204	1981	187078 
205	1981	19453 
206	1981	626 
209	1981	NA
211	1981	32116 
212	1981	21928 
213	1981	5370 
214	1981	3136 
219	1981	218 
221	1981	277 
222	1981	NA
223	1981	NA
299	1981	1659 
301	1981	4432 
302	1981	2311 
303	1981	2427 
304	1981	11492 
305	1981	1360 
306	1981	2275 
307	1981	1648 
308	1981	NA
309	1981	5858 
310	1981	NA
312	1981	NA
313	1981	NA
399	1981	7462 
101	1982	61484 
102	1982	77141 
103	1982	4299 
104	1982	108117 
105	1982	36006 
106	1982	24036 
107	1982	NA
108	1982	NA
109	1982	NA
199	1982	5609 
201	1982	24364 
202	1982	23444 
203	1982	24745 
204	1982	188324 
205	1982	17852 
206	1982	388 
209	1982	NA
211	1982	34093 
212	1982	23162 
213	1982	5642 
214	1982	2803 
219	1982	150 
221	1982	62 
222	1982	NA
223	1982	NA
299	1982	442 
301	1982	4363 
302	1982	2235 
303	1982	2788 
304	1982	13468 
305	1982	1168 
306	1982	2207 
307	1982	1900 
308	1982	NA
309	1982	4483 
310	1982	NA
312	1982	NA
313	1982	NA
399	1982	8483 
101	1983	60590 
102	1983	71997 
103	1983	10015 
104	1983	113636 
105	1983	25869 
106	1983	37330 
107	1983	NA
108	1983	NA
109	1983	NA
199	1983	451 
201	1983	20977 
202	1983	20432 
203	1983	20951 
204	1983	176176 
205	1983	14918 
206	1983	863 
209	1983	NA
211	1983	34153 
212	1983	20791 
213	1983	7623 
214	1983	2642 
219	1983	347 
221	1983	109 
222	1983	NA
223	1983	NA
299	1983	515 
301	1983	4998 
302	1983	2414 
303	1983	4361 
304	1983	15219 
305	1983	1149 
306	1983	2349 
307	1983	2242 
308	1983	NA
309	1983	5426 
310	1983	NA
312	1983	NA
313	1983	NA
399	1983	8749 
101	1984	76426 
102	1984	80741 
103	1984	8199 
104	1984	114377 
105	1984	42063 
106	1984	44218 
107	1984	NA
108	1984	NA
109	1984	NA
199	1984	3424 
201	1984	21567 
202	1984	30297 
203	1984	18442 
204	1984	183520 
205	1984	16478 
206	1984	738 
209	1984	NA
211	1984	32437 
212	1984	20246 
213	1984	5297 
214	1984	4403 
219	1984	182 
221	1984	157 
222	1984	NA
223	1984	NA
299	1984	366 
301	1984	6352 
302	1984	2703 
303	1984	4833 
304	1984	15933 
305	1984	1636 
306	1984	2636 
307	1984	1795 
308	1984	NA
309	1984	6100 
310	1984	NA
312	1984	NA
313	1984	NA
399	1984	9311 
101	1985	90509 
102	1985	72141 
103	1985	22326 
104	1985	119232 
105	1985	55512 
106	1985	48966 
107	1985	NA
108	1985	NA
109	1985	NA
199	1985	5006 
201	1985	34014 
202	1985	28054 
203	1985	23345 
204	1985	150233 
205	1985	18643 
206	1985	1039 
209	1985	NA
211	1985	26502 
212	1985	22341 
213	1985	5016 
214	1985	6060 
219	1985	394 
221	1985	215 
222	1985	NA
223	1985	NA
299	1985	562 
301	1985	8094 
302	1985	2780 
303	1985	5414 
304	1985	16920 
305	1985	1147 
306	1985	2365 
307	1985	2065 
308	1985	NA
309	1985	5385 
310	1985	NA
312	1985	NA
313	1985	NA
399	1985	10297 
101	1986	91780 
102	1986	87750 
103	1986	17984 
104	1986	151233 
105	1986	46282 
106	1986	50495 
107	1986	NA
108	1986	NA
109	1986	NA
199	1986	17852 
201	1986	29759 
202	1986	34027 
203	1986	18930 
204	1986	152505 
205	1986	21167 
206	1986	342 
209	1986	NA
211	1986	20239 
212	1986	19667 
213	1986	2571 
214	1986	5128 
219	1986	434 
221	1986	141 
222	1986	NA
223	1986	NA
299	1986	1271 
301	1986	9403 
302	1986	1732 
303	1986	3110 
304	1986	16906 
305	1986	4421 
306	1986	2392 
307	1986	2175 
308	1986	NA
309	1986	4327 
310	1986	NA
312	1986	NA
313	1986	NA
399	1986	12270 
101	1987	93896 
102	1987	108575 
103	1987	32647 
104	1987	146414 
105	1987	67930 
106	1987	115249 
107	1987	NA
108	1987	NA
109	1987	NA
199	1987	9222 
201	1987	27910 
202	1987	23036 
203	1987	20818 
204	1987	148722 
205	1987	19314 
206	1987	499 
209	1987	NA
211	1987	34110 
212	1987	19235 
213	1987	1817 
214	1987	3295 
219	1987	688 
221	1987	106 
222	1987	NA
223	1987	NA
299	1987	1099 
301	1987	11185 
302	1987	1943 
303	1987	1659 
304	1987	16964 
305	1987	3309 
306	1987	2534 
307	1987	2333 
308	1987	NA
309	1987	2887 
310	1987	NA
312	1987	NA
313	1987	NA
399	1987	11092 
101	1988	133160 
102	1988	126842 
103	1988	82183 
104	1988	147615 
105	1988	62146 
106	1988	129177 
107	1988	NA
108	1988	NA
109	1988	NA
199	1988	18143 
201	1988	22937 
202	1988	32434 
203	1988	21118 
204	1988	147823 
205	1988	23827 
206	1988	454 
209	1988	NA
211	1988	34523 
212	1988	19072 
213	1988	1859 
214	1988	2517 
219	1988	491 
221	1988	67 
222	1988	NA
223	1988	NA
299	1988	992 
301	1988	11051 
302	1988	1010 
303	1988	1751 
304	1988	16023 
305	1988	1769 
306	1988	2970 
307	1988	2328 
308	1988	NA
309	1988	2563 
310	1988	NA
312	1988	NA
313	1988	NA
399	1988	9625 
101	1989	116657 
102	1989	111480 
103	1989	117164 
104	1989	139113 
105	1989	75328 
106	1989	117717 
107	1989	42893 
108	1989	12036 
109	1989	NA
199	1989	2053 
201	1989	16471 
202	1989	43351 
203	1989	34468 
204	1989	153985 
205	1989	28785 
206	1989	490 
209	1989	9057 
211	1989	30151 
212	1989	11955 
213	1989	1547 
214	1989	2514 
219	1989	243 
221	1989	16 
222	1989	NA
223	1989	NA
299	1989	766 
301	1989	8108 
302	1989	1897 
303	1989	5220 
304	1989	17550 
305	1989	5158 
306	1989	3325 
307	1989	2032 
308	1989	631 
309	1989	1939 
310	1989	419 
312	1989	NA
313	1989	NA
399	1989	3515 
101	1990	97145 
102	1990	104128 
103	1990	124599 
104	1990	155921 
105	1990	125112 
106	1990	88254 
107	1990	38034 
108	1990	31877 
