year	taxonID	vernacularName	scientificName	notesToScientificName	taxonRank	SAU1	SAU2	notesToSAU2	Chang1	FB	FBthenSAU2	SAU2thenFB	FBthenSAU2Modified	notesToFBthenSAU2Modified	SAU2thenFBModified	notesToSAU2thenFBModified
2013	2500	鱠	Epinephelus malabaricus		species	3.96	3.96		NA	4.2	4.2	3.96	4.2		3.96	
2013	2600	狗母	Saurida elongata		species	NA	NA		NA	4.4	4.4	4.4	4.4		4.4	
2013	2700	海鰻	Enchelycore schismatorhynchus		species	NA	4.07	map to family rank	NA	4.6	4.6	4.07	4.6		4.07	
2013	2701	海鯰	Arius maculatus		species	NA	3.48	map to family rank	3.4	3.4	3.4	3.48	3.4		3.48	
2013	2900	海鱺	Rachycentron canadus		species	NA	3.96	Rachycentron canadum	4	4	4	3.96	4		3.96	
2013	3000	皮刀	Mene maculata		species	3.45	3.45		3.5	NA	3.45	3.45	3.45		3.45	
2016	3000	鰻鱺科	Anguillidae		family	NA	NA		NA	3.5	3.5	3.5	3.5		3.5	
2013	3101	圓鰺	Decapterus maruadsi		species	3.4	3.4		3.4	3.4	3.4	3.4	3.4		3.4	
2013	3102	真鰺	Trachurus japonicus		species	3.4	3.4		3.4	3.4	3.4	3.4	3.4		3.4	
2013	3103	扁甲鰺	Megalaspis cordyla		species	4.39	4.39		4.4	3.9	3.9	4.39	3.9		4.39	
2013	3104	紅尾鰺	Decapterus kurroides		species	NA	4.05	map to family rank	3.4	3.4	3.4	4.05	3.4		4.05	
2013	3105	甘仔鰺	Carangoides malaboricus		species	NA	4.36	Carangoides malabaricus	NA	3.9	3.9	4.36	3.9		4.36	
2013	3106	紅甘鰺	Seriola dumerili		species	4.5	4.5		4.5	4.5	4.5	4.5	4.5		4.5	
2013	3199	其他鰺	Carangidae	原文件中無此科級註記，此乃根據原文件中 "Other scads" 所做的判斷。	family	4.05	4.05		NA	NA	4.05	4.05	4.05		4.05	
2013	3200	烏魚	Mugil cephalus		species	2.13	2.13		2.1	2.5	2.5	2.13	2.5		2.13	
2013	3301	白鯧	Pampus argenteus		species	3.3	3.3		3.1	3.3	3.3	3.3	3.3		3.3	
2013	3303	黑鯧	Apolectus niger		species	NA	3.64	Parastromateus niger	NA	2.9	2.9	3.64	2.9		3.64	
2013	3399	其他鯧	Bramidae	原文件中無此科級註記，此乃根據原文件中 "Other pomfrets" 和 "燕尾鲳" 所做的判斷。	family	NA	3.53	map to order rank	NA	NA	3.53	3.53	3.53		3.53	
2013	3400	肉魚	Psenopsis anomala		species	3.45	3.45		4	4	4	3.45	4		3.45	
2013	3500	午仔魚	Polydactylus sextarius		species	NA	3.53	map to order rank	NA	3.8	3.8	3.53	3.8		3.53	
2013	3600	飛魚	Cypselurus unicolor		species	NA	3.4	map to genus rank	NA	3.7	3.7	3.4	3.7		3.4	
2013	3601	飛魚卵	NA		NA	NA	NA		NA	NA	NA	NA	NA		NA	
2013	3700	尖鮻	Sphyraena barracuda		species	4.49	4.49		4.5	4.5	4.5	4.49	4.5		4.49	
2013	3800	沙鮻	Sillago sihama		species	3.33	3.33		3.4	3.3	3.3	3.33	3.3		3.33	
2013	3900	西刀	Chirocentrus dorab		species	4.5	4.5		NA	4.4	4.4	4.5	4.4		4.5	
2013	4000	油魚	Ruvettus pretiosus		species	4.08	4.08		4.2	4.2	4.2	4.08	4.2		4.08	
2016	4001	淡水鯰	Clarias		genus	NA	3.47	map to species rank	NA	NA	3.47	3.47	3.47		3.47	
2013	4002	鰶	Nematalosa japonica		species	NA	3.16	map to order rank	NA	2.4	2.4	3.16	2.4		3.16	
2013	4300	白帶魚	Trichiurus lepturus		species	4.42	4.42		4.4	4.4	4.4	4.42	4.4		4.42	
2013	4400	鱰	Coryphaena hippurus		species	4.37	4.37		4.4	4.4	4.4	4.37	4.4		4.37	
2013	4500	笛鯛類	Lutjanus	原文件採用學名 Lutjanus vitta，但其俗名卻寫做 "笛鯛類"，故在此僅採信其屬級分類。	genus	4.02	4.02		NA	NA	4.02	4.02	4.02		4.02	
2013	4601	臭肉鰮	Etrumeus teres		species	NA	3.16	map to order rank	3.5	3.6	3.6	3.16	3.6		3.16	
2013	4602	鱙仔	Engraulis japonius		species	3.14	3.14		NA	3.1	3.1	3.14	3.1		3.14	
2013	4603	魩仔	Emcrasicholina punctifer		species	NA	3.24	map to order rank	NA	3.3	3.3	3.24	3.3		3.24	
2013	4604	青鱗	Sardinella sindensis		species	NA	2.77	map to genus rank	NA	2.9	2.9	2.77	2.9		2.77	
2013	4605	丁香	Spratelloides gracilis		species	3.06	3.06		3	3.1	3.1	3.06	3.1		3.06	
2013	4699	其他鰮類	Clupeidae	原文件中無此科級註記，此乃根據原文件中 "Other sardines" 所做的判斷。	family	3.16	3.16		NA	NA	3.16	3.16	3.16		3.16	
2013	4700	鯖	Scomber austrlasicus		species	4.23	4.23		NA	4.2	4.2	4.23	4.2		4.23	
2013	4801	正鰹	Katsuwonus pelamis		species	4.43	4.43		4.3	4.4	4.4	4.43	4.4		4.43	
2013	4802	花鰹	Auxis thazard		species	4.37	4.37		NA	4.4	4.4	4.37	4.4		4.37	
2013	4803	圓花鰹	Auxis rochei		species	4.13	4.13		4.1	4.3	4.3	4.13	4.3		4.13	
2013	4899	其他鰹類	Katsuwonus	原文件中無此屬級註記，此乃根據原文件中 "Other skipjacks" 所做的判斷。	genus	NA	4.26	map to family rank	NA	NA	4.26	4.26	4.26		4.26	
2013	4901	土拖鰆	Scomberomorus commerson		species	4.5	4.5		NA	4.5	4.5	4.5	4.5		4.5	
2013	4902	馬加鰆	Scomberomorus niphonius		species	4.5	4.5		4.5	4.5	4.5	4.5	4.5		4.5	
2013	4903	闊腹鰆	Scomberomorus koreanus		species	NA	4.35	map to genus rank	NA	4.2	4.2	4.35	4.2		4.35	
2013	4999	其他鰆類	Scombridae	原文件中無此科級註記，此乃根據原文件中 "Other mackerels" 所做的判斷。	family	4.26	4.26		NA	NA	4.26	4.26	4.26		4.26	
2013	5001	長鰭鮪	Thunnus alalunga		species	4.3	4.3		4.3	4.3	4.3	4.3	4.3		4.3	
2013	5002	大目鮪	Thunnus obesus		species	4.49	4.49		4.5	4.5	4.5	4.49	4.5		4.49	
2016	5003	紅眼沙鱸	Psammoperca waigiensis		species	NA	3.53	map to order rank	NA	4	4	3.53	4		3.53	
2013	5003	黑鮪	Thunnus thynnus		species	NA	4.26	map to family rank	NA	4	4	4.26	4		4.26	
2013	5003	黃鰭鮪	Thunnus albacares		species	4.41	4.41		4.3	4	4	4.41	4		4.41	
2016	5004	尖吻鱸	Lates calcarifer		species	4.35	4.35		NA	3.8	3.8	4.35	3.8		4.35	
2013	5005	其他鮪類	Scombridae	原文件中無此科級註記，此乃根據原文件中 "Other tunas" 所做的判斷。	family	4.26	4.26		NA	NA	4.26	4.26	4.26		4.26	
2013	5006	南方黑鮪	Thunnus Maccoyii		species	NA	4.26	map to family rank	NA	3.9	3.9	4.26	3.9		4.26	
2013	5101	劍旗魚	Xiphias gladius		species	4.53	4.53		4.5	4.5	4.5	4.53	4.5		4.53	
2013	5102	紅肉旗魚	Kajikia audax		species	4.58	4.58		NA	4.5	4.5	4.58	4.5		4.58	
2013	5103	黑皮旗魚	Makaira mazara		species	4.46	4.46		NA	4.5	4.5	4.46	4.5		4.46	
2013	5104	白皮旗魚	Makaira indica		species	NA	4.5	Istiompax indica	4.5	4.5	4.5	4.5	4.5		4.5	
2013	5105	雨傘旗魚	Istiophorus platypterus		species	4.5	4.5		4.5	4.5	4.5	4.5	4.5		4.5	
2013	5106	大西洋白旗魚	Kajikia albidus		species	NA	4.48	map to family rank	NA	4.5	4.5	4.48	4.5		4.48	
2013	5199	其他旗魚	Istiophoridae	原文件中無此科級註記，此乃根據原文件中 "Other marlin" 所做的判斷。	family	4.48	4.48		NA	NA	4.48	4.48	4.48		4.48	
2013	5201	大鯊	Isurus glaucus		species	NA	4.5	map to genus rank	NA	4.5	4.5	4.5	4.5		4.5	
2013	5202	鯊條	Hemitriakis japonicus	此學名可能有誤	species	NA	4.05	map to subclass rank	NA	4.4	4.4	4.05	4.4		4.05	
