_海洋保護區或其子區的名稱	_所屬的海洋保護區	_法令依據	_提報機關	_管理機關	_地理圖資的類型	_原始的座標點位	_以Excel統一座標的格式	decimalLatitude	decimalLongitude
琉球漁業資源保育區杉福潮間帶保育示範區	琉球漁業資源保育區	漁業法	漁業署	屏東縣政府	POLYGON	22°20.579’ N120°21.752’ E	22°20.579'N 120°21.752' E	22.3429833333333	120.362533333333
車城漁業資源保育區		漁業法	漁業署	屏東縣政府	LINK	22°6'41.89''N;120°42'47.16''E	22°6'41.89sN 120°42'47.16sE	22.1116361111111	120.7131
車城漁業資源保育區		漁業法	漁業署	屏東縣政府	LINK	22°5'31.53''N;120°42'54.46''E	22°5'31.53sN 120°42'54.46sE	22.0920916666667	120.715127777778
綠島漁業資源保育區柴口分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	N22 度 40 分 30.3 秒 E121 度 28 分 44.0 秒	22°40'30.3sN 121°28'44.0sE	22.6750833333333	121.478888888889
綠島漁業資源保育區柴口分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	N22 度 40 分 37.1 秒 E121 度 28 分 45.7 秒	22°40'37.1sN 121°28'45.7sE	22.6769722222222	121.479361111111
綠島漁業資源保育區柴口分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	N22 度 40 分 38.2 秒 E121 度 29 分 1.0 秒	22°40'38.2sN 121°29'1.0sE	22.6772777777778	121.483611111111
綠島漁業資源保育區柴口分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	N22 度 40 分 44.0 秒 E121 度 28 分 56.1 秒	22°40'44.0sN 121°28'56.1sE	22.6788888888889	121.48225
綠島漁業資源保育區石朗分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	N22 度 39 分 33.2 秒 E121 度 28 分 27.4 秒	22°39'33.2sN 121°28'27.4sE	22.6592222222222	121.474277777778
綠島漁業資源保育區石朗分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	N22 度 39 分 33.1 秒 E121 度 28 分 24.2 秒	22°39'33.1sN 121°28'24.2sE	22.6591944444444	121.473388888889
綠島漁業資源保育區石朗分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	N22 度 39 分 28.4 秒 E 21 度 28 分 24.2 秒	22°39'28.4sN 121°28'24.2sE	22.6578888888889	121.473388888889
綠島漁業資源保育區石朗分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	N22 度 39 分 26.8 秒 E121 度 28 分 18.2 秒	22°39'26.8sN 121°28'18.2sE	22.6574444444444	121.471722222222
綠島漁業資源保育區石朗分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	N22 度 39 分 23.8 秒 E121 度 28 分 18.2 秒	22°39'23.8sN 121°28'18.2sE	22.6566111111111	121.471722222222
綠島漁業資源保育區石朗分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	N22 度 39 分 22.2 秒 E121 度 28 分 22.3 秒	22°39'22.2sN 121°28'22.3sE	22.6561666666667	121.472861111111
