$海洋保護區或其子區的名稱	$所屬的海洋保護區	$法令依據	$提報機關	$管理機關	$地理圖資的類型	$原始的座標點位	$以Excel統一座標的格式
綠島漁業資源保育區石朗分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	N22 度 39 分 26.8 秒 E121 度 28 分 18.2 秒	22°39'26.8''N 121°28'18.2''E
綠島漁業資源保育區石朗分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	N22 度 39 分 23.8 秒 E121 度 28 分 18.2 秒	22°39'23.8''N 121°28'18.2''E
綠島漁業資源保育區石朗分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	N22 度 39 分 22.2 秒 E121 度 28 分 22.3 秒	22°39'22.2''N 121°28'22.3''E
綠島漁業資源保育區石朗分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	N22 度 39 分 8.2 秒 E121 度 28 分 22.3 秒	22°39'8.2''N 121°28'22.3''E
綠島漁業資源保育區石朗分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	N22 度 39 分 7.9 秒 E121 度 28 分 28.1 秒	22°39'7.9''N 121°28'28.1''E
綠島漁業資源保育區龜灣分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	N22 度 38 分 33.5 秒 E121 度 29 分 17.8 秒	22°38'33.5''N 121°29'17.8''E
綠島漁業資源保育區龜灣分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	N22 度 38 分 18.9 秒 E121 度 29 分 6.2 秒	22°38'18.9''N 121°29'6.2''E
綠島漁業資源保育區龜灣分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	N22 度 38 分 21.5 秒 E121 度 29 分 34.8 秒	22°38'21.5''N 121°29'34.8''E
綠島漁業資源保育區龜灣分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	N22 度 38 分 13.7 秒 E121 度 29 分 16.2 秒	22°38'13.7''N 121°29'16.2''E
綠島漁業資源保育區環島分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府			
小馬漁業資源保育區	NA	漁業法	漁業署	臺東縣政府	POLYGON	"23°01'12.6""N;121°20'10.3""E"	"23°01'12.6""N 121°20'10.3""E"
小馬漁業資源保育區	NA	漁業法	漁業署	臺東縣政府	POLYGON	"23°01'14.1""N;121°20'17.1""E"	"23°01'14.1""N 121°20'17.1""E"
小馬漁業資源保育區	NA	漁業法	漁業署	臺東縣政府	POLYGON	"22°59'58.6""N;121°19'16.3""E"	"22°59'58.6""N 121°19'16.3""E"
小馬漁業資源保育區	NA	漁業法	漁業署	臺東縣政府	POLYGON	"22°59'58""N;121°19'23.4""E"	"22°59'58""N 121°19'23.4""E"
小港漁業資源保育區	NA	漁業法	漁業署	臺東縣政府	POLYGON	"23°10'11.9""N;121°24'16.2""E"	"23°10'11.9""N 121°24'16.2""E"
小港漁業資源保育區	NA	漁業法	漁業署	臺東縣政府	POLYGON	"23°10'15.2""N;121°24'22.3""E"	"23°10'15.2""N 121°24'22.3""E"
小港漁業資源保育區	NA	漁業法	漁業署	臺東縣政府	POLYGON	23°10.250' N;121°24.237' E	23°10.250'N 121°24.237'E
小港漁業資源保育區	NA	漁業法	漁業署	臺東縣政府	POLYGON	"23°09'27.4''N;121°24'24""E"	"23°09'27.4''N 121°24'24""E"
宜灣漁業資源保育區	NA	漁業法	漁業署	臺東縣政府	POLYGON	"23°12'20.7""N;121°23'47.4""E"	"23°12'20.7""N 121°23'47.4""E"
宜灣漁業資源保育區	NA	漁業法	漁業署	臺東縣政府	POLYGON	"23°12'19.2""N;121°23'54.1""E"	"23°12'19.2""N 121°23'54.1""E"
宜灣漁業資源保育區	NA	漁業法	漁業署	臺東縣政府	POLYGON	"23°11'22.9""N;121°23'51.2""E"	"23°11'22.9""N 121°23'51.2""E"
宜灣漁業資源保育區	NA	漁業法	漁業署	臺東縣政府	POLYGON	"23°11'23.9''N;121°23'58.1""E"	"23°11'23.9''N 121°23'58.1""E"
富山漁業資源保育區	NA	漁業法	漁業署	臺東縣政府			
富山漁業資源保育區永續使用區	富山漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	"22°50'46.6"" N;121°11'20.9 ""E"	"22°50'46.6""N 121°11'20.9 ""E"
富山漁業資源保育區永續使用區	富山漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	"22°50'45.6"" N;121°11'38.5 ""E"	"22°50'45.6""N 121°11'38.5 ""E"
富山漁業資源保育區永續使用區	富山漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	"22°50'18.9"" N;121°11'18.5 ""E"	"22°50'18.9""N 121°11'18.5 ""E"
富山漁業資源保育區永續使用區	富山漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	"22°50'17.1"" N;121°11'36 ""E"	"22°50'17.1""N 121°11'36 ""E"
富山漁業資源保育區核心區	富山漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	"22°50'18.9"" N;121°11'18.5 ""E"	"22°50'18.9""N 121°11'18.5 ""E"
富山漁業資源保育區核心區	富山漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	"22°50'17.1"" N;121°11'36 ""E"	"22°50'17.1""N 121°11'36 ""E"
富山漁業資源保育區核心區	富山漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	"22°50'02.8"" N;121°11'08.4 ""E"	"22°50'02.8""N 121°11'08.4 ""E"
富山漁業資源保育區核心區	富山漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	"22°49'58.4"" N;121°11'25.5 ""E"	"22°49'58.4""N 121°11'25.5 ""E"
壽豐鄉鹽寮保育區	NA	漁業法	漁業署	花蓮縣政府	POLYGON	"23°53'07.5""N;121°36'12.5""E"	"23°53'07.5""N 121°36'12.5""E"
壽豐鄉鹽寮保育區	NA	漁業法	漁業署	花蓮縣政府	POLYGON	"23°53'07.5""N;121°36'19.6""E"	"23°53'07.5""N 121°36'19.6""E"
壽豐鄉鹽寮保育區	NA	漁業法	漁業署	花蓮縣政府	POLYGON	"23°51'36.9""N;121°35'51.8""E"	"23°51'36.9""N 121°35'51.8""E"
壽豐鄉鹽寮保育區	NA	漁業法	漁業署	花蓮縣政府	POLYGON	"23°51'36.9""N;121°35'58.9""E"	"23°51'36.9""N 121°35'58.9""E"
壽豐鄉水璉保育區	NA	漁業法	漁業署	花蓮縣政府	POLYGON	"23°43'29.4""N;121°33'23.6""E"	"23°43'29.4""N 121°33'23.6""E"
壽豐鄉水璉保育區	NA	漁業法	漁業署	花蓮縣政府	POLYGON	"23°43'29.4""N;121°33'30.7""E"	"23°43'29.4""N 121°33'30.7""E"
壽豐鄉水璉保育區	NA	漁業法	漁業署	花蓮縣政府	POLYGON	"23°43'0.6""N;121°32'57.9""E"	"23°43'0.6""N 121°32'57.9""E"
壽豐鄉水璉保育區	NA	漁業法	漁業署	花蓮縣政府	POLYGON	"23°43'0.6""N;121°33'4.9""E"	"23°43'0.6""N 121°33'4.9""E"
豐濱鄉高山保育區	NA	漁業法	漁業署	花蓮縣政府	POLYGON	"23°41'03.5""N;121°32'52.7""E"	"23°41'03.5""N 121°32'52.7""E"
豐濱鄉高山保育區	NA	漁業法	漁業署	花蓮縣政府	POLYGON	"23°41'03.5""N;121°32'59.8""E"	"23°41'03.5""N 121°32'59.8""E"
豐濱鄉高山保育區	NA	漁業法	漁業署	花蓮縣政府	POLYGON	"23°40'23.9""N;121°32'47.3""E"	"23°40'23.9""N 121°32'47.3""E"
豐濱鄉高山保育區	NA	漁業法	漁業署	花蓮縣政府	POLYGON	"23°40'23.9""N;121°32'54.3""E"	"23°40'23.9""N 121°32'54.3""E"
豐濱鄉小湖保育區	NA	漁業法	漁業署	花蓮縣政府	POLYGON	"23°38'59.6""N;121°32'10.8""E"	"23°38'59.6""N 121°32'10.8""E"
豐濱鄉小湖保育區	NA	漁業法	漁業署	花蓮縣政府	POLYGON	"23°38'59.6""N;121°32'17.8""E"	"23°38'59.6""N 121°32'17.8""E"
豐濱鄉小湖保育區	NA	漁業法	漁業署	花蓮縣政府	POLYGON	"23°38'06.8""N;121°31'57.8""E"	"23°38'06.8""N 121°31'57.8""E"
豐濱鄉小湖保育區	NA	漁業法	漁業署	花蓮縣政府	POLYGON	"23°38'06.8""N;121°32'04.9""E"	"23°38'06.8""N 121°32'04.9""E"
豐濱鄉豐濱保育區	NA	漁業法	漁業署	花蓮縣政府	POLYGON	"23°32'58.4""N;121°30'37.0""E"	"23°32'58.4""N 121°30'37.0""E"
豐濱鄉豐濱保育區	NA	漁業法	漁業署	花蓮縣政府	POLYGON	"23°32'58.4""N;121°30'44.1""E"	"23°32'58.4""N 121°30'44.1""E"
豐濱鄉豐濱保育區	NA	漁業法	漁業署	花蓮縣政府	POLYGON	"23°29'02.3""N;121°30'44.3""E"	"23°29'02.3""N 121°30'44.3""E"
豐濱鄉豐濱保育區	NA	漁業法	漁業署	花蓮縣政府	POLYGON	"23°29'02.3""N;121°30'51.4""E"	"23°29'02.3""N 121°30'51.4""E"
豐濱鄉石梯坪保育區	NA	漁業法	漁業署	花蓮縣政府	POLYGON	"23°28'50.0""N;121°30'33.8""E"	"23°28'50.0""N 121°30'33.8""E"
豐濱鄉石梯坪保育區	NA	漁業法	漁業署	花蓮縣政府	POLYGON	"23°28'50.0""N;121°30'40.9""E"	"23°28'50.0""N 121°30'40.9""E"
豐濱鄉石梯坪保育區	NA	漁業法	漁業署	花蓮縣政府	POLYGON	"23°28'10.7""N;121°30'16.0""E"	"23°28'10.7""N 121°30'16.0""E"
豐濱鄉石梯坪保育區	NA	漁業法	漁業署	花蓮縣政府	POLYGON	"23°28'10.7""N;121°30'23.1""E"	"23°28'10.7""N 121°30'23.1""E"
小門漁業資源保育區	NA	漁業法	漁業署	澎湖縣政府	POLYGON	23°39.3' N;119°30.4'E	23°39.3'N 119°30.4'E
小門漁業資源保育區	NA	漁業法	漁業署	澎湖縣政府	POLYGON	23°39.3' N;119°30.6'E	23°39.3'N 119°30.6'E
小門漁業資源保育區	NA	漁業法	漁業署	澎湖縣政府	POLYGON	23°39.4'N;119°30.4'E	23°39.4'N 119°30.4'E
小門漁業資源保育區	NA	漁業法	漁業署	澎湖縣政府	POLYGON	23°39.4'N;119°30.6'E	23°39.4'N 119°30.6'E
七美漁業資源保育區	NA	漁業法	漁業署	澎湖縣政府	NA	NA	NA
金門縣古寧頭西北海域鱟保育區	NA	漁業法	漁業署	金門縣政府	POLYGON	"24°28'14.9""N;118°17'19.5""E"	"24°28'14.9""N 118°17'19.5""E"
金門縣古寧頭西北海域鱟保育區	NA	漁業法	漁業署	金門縣政府	POLYGON	"24°28'44.4""N;118°19'38.8""E"	"24°28'44.4""N 118°19'38.8""E"
金門縣古寧頭西北海域鱟保育區	NA	漁業法	漁業署	金門縣政府	POLYGON	"24°29'49.4""N;118°19'38.8""E"	"24°29'49.4""N 118°19'38.8""E"
金門縣古寧頭西北海域鱟保育區	NA	漁業法	漁業署	金門縣政府	POLYGON	"24°29'19.9""N;118°17'19.5""E"	"24°29'19.9""N 118°17'19.5""E"
相關漁具漁法及特定漁業禁漁區	NA	漁業法	漁業署	漁業署及各縣市政府	NA	NA	NA
墾丁國家公園	NA	國家公園法		墾丁國家公園管理處			
墾丁國家公園海域生態保護區一	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"22°0'28.15""N;120°41'19.63""E"	"22°0'28.15""N 120°41'19.63""E"
墾丁國家公園海域生態保護區一	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°59'44.49""N;120°41'45.14""E"	"21°59'44.49""N 120°41'45.14""E"
墾丁國家公園海域生態保護區一	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°59'52.67""N;120°41'58.91""E"	"21°59'52.67""N 120°41'58.91""E"
墾丁國家公園海域生態保護區一	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"22°0'30.32""N;120°41'35.33""E"	"22°0'30.32""N 120°41'35.33""E"
墾丁國家公園海域生態保護區二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°55'37.71""N;120°43'1.22""E"	"21°55'37.71""N 120°43'1.22""E"
墾丁國家公園海域生態保護區二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°55'7.33""N;120°43'19.28""E"	"21°55'7.33""N 120°43'19.28""E"
墾丁國家公園海域生態保護區二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°54'54.11""N;120°43'41.79""E"	"21°54'54.11""N 120°43'41.79""E"
墾丁國家公園海域生態保護區二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°55'6.15""N;120°44'29.21""E"	"21°55'6.15""N 120°44'29.21""E"
墾丁國家公園海域生態保護區二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°55'10.80""N;120°44'23.17""E"	"21°55'10.80""N 120°44'23.17""E"
墾丁國家公園海域生態保護區二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°55'5.24""N;120°43'42.35""E"	"21°55'5.24""N 120°43'42.35""E"
墾丁國家公園海域生態保護區二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°55'43.49""N;120°43'8.14""E"	"21°55'43.49""N 120°43'8.14""E"
墾丁國家公園海域生態保護區三	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'1.71""N ;120°49'21.04""E"	"21°56'1.71""N 120°49'21.04""E"
墾丁國家公園海域生態保護區三	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°55'50.39""N;120°49'15.92""E"	"21°55'50.39""N 120°49'15.92""E"
墾丁國家公園海域生態保護區三	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°54'52.09""N;120°50'5.03""E"	"21°54'52.09""N 120°50'5.03""E"
墾丁國家公園海域生態保護區三	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°54'41.78""N;120°50'49.40""E"	"21°54'41.78""N 120°50'49.40""E"
墾丁國家公園海域生態保護區四	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°53'57.03""N;120°51'0.43""E"	"21°53'57.03""N 120°51'0.43""E"
墾丁國家公園海域生態保護區四	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°53'49.15""N;120°50'55.07""E"	"21°53'49.15""N 120°50'55.07""E"
墾丁國家公園海域生態保護區四	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°53'53.84""N;120°52'6.59""E"	"21°53'53.84""N 120°52'6.59""E"
