214	一支釣	17,321	124,345	15,572	111,762	9,008	66,318	16,314	110,615	19,203	103,351	27,130	143,175
219	其他釣	142	1,174	208	1,692	79	559	86	671	133	947	232	1,886
221	珊瑚	1	1,914	-	1,204	2	4,000	53	93,400	112	176,394	37	73,500
222	飛魚卵漁業	-	-	-	-	-	-	-	-	-	-	-	-
223	扒網漁業	-	-	-	-	-	-	-	-	-	-	-	-
299	其他近海漁業	8,841	67,226	1,155	10,511	1,537	10,981	1,803	12,588	1,193	8,257	904	7,264
300	沿岸漁業合計	33,688	274,426	28,615	254,611	29,158	254,923	27,985	275,475	29,254	305,301	30,338	345,616
301	定置網	2,096	17,847	2,177	19,422	2,239	19,633	2,937	27,094	2,781	26,851	2,820	28,652
302	地曳網	8,742	57,602	7,262	56,462	7,817	56,726	6,290	50,171	6,645	53,913	6,118	59,223
303	火誘網	2,301	14,489	1,644	11,830	1,421	8,329	1,571	10,823	1,744	13,336	2,305	23,254
304	刺網	4,306	37,392	4,088	36,304	4,528	43,900	4,307	40,212	5,295	57,078	5,521	58,766
305	其他網	3,730	26,593	2,788	21,806	2,993	22,331	2,385	22,481	2,648	25,315	2,392	22,676
306	一支釣	-	-	-	-	-	-	-	-	-	-	-	-
307	延繩釣	-	-	-	-	-	-	-	-	-	-	-	-
308	其他釣	2,836	25,463	1,973	14,686	1,946	14,606	2,008	16,834	2,240	19,572	2,338	21,645
309	鏢旗魚	4,358	47,510	4,549	53,763	3,944	46,397	4,490	55,655	3,722	53,857	4,147	61,592
310	遊漁	-	-	-	-	-	-	-	-	-	-	-	-
312	櫻花蝦漁業	-	-	-	-	-	-	-	-	-	-	-	-
313	鱙漁業	-	-	-	-	-	-	-	-	-	-	-	-
399	其他沿岸漁業	5,318	47,531	4,134	40,338	4,270	43,001	3,997	52,205	4,178	55,379	4,696	69,809
400	海面養殖合計	10,683	61,439	12,313	77,675	13,752	92,091	15,553	130,965	15,345	150,512	17,891	310,426
401	淺海養殖	10,683	61,439	12,313	77,675	13,752	92,091	15,553	130,965	15,345	150,512	17,891	310,426
402	箱網養殖	-	-	-	-	-	-	-	-	-	-	-	-
499	其他海面養殖	-	-	-	-	-	-	-	-	-	-	-	-
500	內陸漁撈合計	1,326	13,530	1,173	13,541	1,183	14,222	1,483	19,389	1,592	21,266	1,578	21,911
501	河川漁撈	1,326	13,530	1,173	13,541	1,183	14,222	1,483	19,389	1,592	21,266	1,578	21,911
502	水庫漁撈	-	-	-	-	-	-	-	-	-	-	-	-
599	其他內陸漁撈	-	-	-	-	-	-	-	-	-	-	-	-
600	內陸養殖合計	43,478	647,294	46,198	708,494	42,433	639,653	41,042	679,780	41,747	780,460	54,834	1,057,568
601	鹹水魚塭	29,812	483,739	31,415	525,384	26,358	451,910	24,058	441,330	21,949	432,328	31,606	693,075
602	淡水魚塭	9,765	111,723	10,837	129,545	11,608	132,496	12,186	179,380	14,458	273,248	17,094	336,025
603	箱網養殖	-	-	-	-	-	-	-	-	-	-	-	-
604	觀賞魚養殖	-	-	-	-	-	-	-	-	-	-	-	-
699	其他內陸養殖	3,900	51,833	3,946	53,565	4,467	55,247	4,798	59,070	5,340	74,885	6,134	82,468
													
													
	年別	民國六十年		民國六十一年		民國六十二年		民國六十三年		民國六十四年		民國六十五年	
代碼	Year	1971		1972		1973		1974		1975		1976	
Code	漁業種類	產量	價值	產量	價值	產量	價值	產量	價值	產量	價值	產量	價值
	Type of Fishery	Quantity	Value	Quantity	Value	Quantity	Value	Quantity	Value	Quantity	Value	Quantity	Value
0	總計	650,187	8,350,345	649,331	10,645,690	758,484	14,230,794	697,871	15,297,600	779,951	17,378,423	810,600	21,563,398
100	遠洋漁業合計	293,014	3,570,401	344,866	4,849,658	362,385	5,752,244	316,748	5,589,672	326,707	4,963,720	325,327	7,145,112
101	單船拖網	56,580	406,936	73,147	618,655	75,047	733,415	62,057	787,416	74,941	955,584	60,267	879,552
102	雙船拖網	140,814	1,149,144	167,829	1,618,581	184,435	1,794,759	155,182	1,825,721	149,756	1,718,683	157,998	2,262,110
103	鰹鮪圍網	-	-	-	-	-	-	-	-	-	-	-	-
104	鮪延繩釣	95,620	2,014,321	103,823	2,611,483	102,757	3,221,574	98,890	2,971,915	84,706	2,084,239	92,543	3,500,418
105	大目流刺網	-	-	-	-	-	-	-	-	-	-	-	-
106	魷釣	-	-	-	-	-	-	-	-	-	-	-	-
107	魷魚流刺網	-	-	-	-	-	-	-	-	-	-	-	-
108	秋刀魚火誘網	-	-	-	-	-	-	-	-	-	-	-	-
109	珊瑚	-	-	-	-	-	-	-	-	-	-	-	-
199	其他遠洋漁業	-	-	67	939	146	2,497	619	4,620	17,303	205,213	14,519	503,033
200	近海漁業合計	247,429	2,627,589	238,833	2,755,158	260,298	3,896,154	238,499	4,257,461	293,259	5,104,210	314,452	6,485,739
201	巾著網	27,194	231,508	24,352	186,370	30,652	338,619	17,957	330,968	17,991	477,941	20,167	473,893
202	鯖 圍 網	765	4,433	220	1,471	-	-	-	-	-	-	-	-
203	火誘網	32,473	210,552	31,750	230,520	29,750	429,003	28,090	473,997	32,002	561,579	26,722	521,466
204	中小型拖網	98,685	1,217,768	102,915	1,291,848	122,419	1,871,127	118,082	2,082,494	148,960	2,149,865	167,783	2,999,792
205	刺網	8,921	141,606	8,187	148,514	8,957	159,100	10,934	273,012	10,864	255,117	17,142	487,884
206	追逐網	1,922	12,388	929	7,075	849	6,257	483	7,135	522	6,345	589	8,072
209	其他網	-	-	-	-	-	-	-	-	-	-	-	-
211	鮪延繩釣	29,577	399,291	32,067	477,344	41,256	700,235	44,189	761,693	60,720	1,224,970	57,183	1,468,509
212	鯛及雜魚延繩釣	21,813	211,113	19,504	219,716	19,328	261,066	13,679	235,337	15,755	289,852	17,842	372,870
213	曳繩釣	3,715	30,413	2,353	24,564	1,937	20,988	1,368	20,426	1,000	16,371	1,397	25,453
