0000	總        計	1,299,741 	92,294,568 	1,260,410 	87,739,422 	70,472 	3,529,050 	1,920 	132,249 	178 	8,784 	382 	32,076 	694 	54,226 
2004	中小拖網　	-	-	-	-	0 	3 	#REF!	#REF!	9 	2,416 	38 	4,658 	12 	2,918 
2005	刺網　	-	-	-	-	-	-	#REF!	#REF!	41 	9,033 	2 	510 	27 	6,380 
2006	扒網　	-	-	-	-	-	-	#REF!	#REF!	-	-	-	-	-	-
2049	其他網　	-	-	-	-	-	-	#REF!	#REF!	-	-	-	-	-	-
2050	鮪延繩釣　	-	-	-	-	-	-	#REF!	#REF!	-	-	-	-	-	-
2051	雜魚延繩釣　	-	-	-	-	-	-	#REF!	#REF!	34 	14,134 	85 	27,696 	0 	110 
2052	曳繩釣　	-	-	-	-	-	-	#REF!	#REF!	-	-	-	-	-	-
2053	一支釣　	-	-	-	-	-	-	#REF!	#REF!	15 	5,115 	66 	28,154 	6 	1,480 
2079	其他釣　	-	-	-	-	-	-	#REF!	#REF!	-	-	-	-	-	-
2096	籠具　	-	-	-	-	-	-	#REF!	#REF!	-	-	-	-	-	-
2097	珊瑚　	-	-	-	-	-	-	#REF!	#REF!	-	-	-	-	-	-
2098	飛魚卵漁業　	-	-	-	-	-	-	#REF!	#REF!	-	-	-	-	-	-
2099	其他近海漁業　	-	-	-	-	-	-	#REF!	#REF!	-	-	-	-	-	-
3000	沿岸漁業合計	-	-	-	-	24 	2,076 	#REF!	#REF!	44 	9,779 	119 	41,928 	167 	44,766 
3001	定置漁具　	-	-	-	-	23 	1,993 	#REF!	#REF!	0 	20 	-	-	6 	1,522 
3002	地曳網　	-	-	-	-	-	-	#REF!	#REF!	-	-	-	-	-	-
3003	焚寄網　	-	-	-	-	-	-	#REF!	#REF!	-	-	-	-	-	-
3004	刺網　	-	-	-	-	1 	83 	#REF!	#REF!	36 	6,980 	26 	5,971 	135 	34,477 
3005	追逐網　	-	-	-	-	-	-	#REF!	#REF!	-	-	-	-	-	-
3006	流袋網　	-	-	-	-	-	-	#REF!	#REF!	-	-	-	-	-	-
3007	魩鱙漁業　	-	-	-	-	-	-	#REF!	#REF!	-	-	-	-	-	-
3008	櫻花蝦漁業　	-	-	-	-	-	-	#REF!	#REF!	-	-	-	-	-	-
3009	赤尾青蝦漁業　	-	-	-	-	-	-	#REF!	#REF!	-	-	-	-	-	-
3049	其他網　	-	-	-	-	-	-	#REF!	#REF!	-	-	-	-	0 	1 
3050	一支釣　	-	-	-	-	-	-	#REF!	#REF!	5 	926 	67 	29,633 	11 	3,714 
3051	雜魚延繩釣　	-	-	-	-	-	-	#REF!	#REF!	1 	314 	24 	4,511 	14 	5,052 
3079	其他釣　	-	-	-	-	-	-	#REF!	#REF!	-	-	-	-	-	-
3096	鏢旗魚　	-	-	-	-	-	-	#REF!	#REF!	-	-	-	-	-	-
3097	遊漁　	-	-	-	-	-	-	#REF!	#REF!	2 	1,539 	3 	1,813 	-	-
3098	籠具　	-	-	-	-	-	-	#REF!	#REF!	-	-	-	-	-	-
3099	其他沿岸漁業　	-	-	-	-	-	-	#REF!	#REF!	-	-	-	-	-	-
4000	內陸漁撈合計	-	-	-	-	-	-	#REF!	#REF!	-	-	-	-	-	-
4001	河川漁撈　	-	-	-	-	-	-	#REF!	#REF!	-	-	-	-	-	-
4002	水庫漁撈　	-	-	-	-	-	-	#REF!	#REF!	-	-	-	-	-	-
4099	其他內陸漁撈　	-	-	-	-	-	-	#REF!	#REF!	-	-	-	-	-	-
5000	海面養殖合計	-	-	-	-	-	-	#REF!	#REF!	-	-	-	-	7 	2,450 
5001	淺海養殖　	-	-	-	-	-	-	#REF!	#REF!	-	-	-	-	-	-
5002	箱網養殖　	-	-	-	-	-	-	#REF!	#REF!	-	-	-	-	7 	2,450 
5099	其他海面養殖　	-	-	-	-	-	-	#REF!	#REF!	-	-	-	-	-	-
6000	內陸養殖合計	262 	53,385 	987 	148,778 	53,528 	3,504,046 	#REF!	#REF!	-	-	-	-	132 	19,881 
6001	鹹水魚塭　	-	-	-	-	36,461 	2,411,125 	#REF!	#REF!	-	-	-	-	132 	19,881 
6002	淡水魚塭　	262 	53,385 	987 	148,778 	17,066 	1,092,921 	#REF!	#REF!	-	-	-	-	-	-
6003	箱網養殖　	-	-	-	-	-	-	#REF!	#REF!	-	-	-	-	-	-
6004	觀賞魚養殖　	-	-	-	-	-	-	#REF!	#REF!	-	-	-	-	-	-
6099	其他內陸養殖　	-	-	-	-	-	-	#REF!	#REF!	-	-	-	-	-	-
"註:1.民國99年以後觀賞魚改以尾數計算，不合計產量只合計價值。
     2.本表只揭露主要魚種，各魚種生產量值之合計，將不等於總生產量值。"						"1.The Ornamental fish were counted by number since 2010. Only the value was summed, but not the production.     
2.Only major species are showed in this table, therefore the sum of production/value of species does not match  the grand total."									
7‧漁業生產量									7‧FISHERIES PRODUCTION						
				單位：	產量：公噸, 千尾(觀賞魚)						Unit：	Quantity：M.T.; 1000Pcs. by ornamental fish			
	(1) 漁業種類別魚類別生產量值(續)				價值：新臺幣千元			(1) By type of fisheries by species(Continued)				Value：Thousand NT $			
	"                    魚類別
                    Species"	主        要        魚        類													
		鯛    科		石  首  魚  科								石  斑  類			
		其他鯛		小計		白姑魚		金線魚		大棘大眼鯛		小計		點帶石斑	
代碼	"漁業種類
Type of Fishery"	12099		Sub Total		15004		16001		23001		Sub Total		26002	
Code		產量	價值	產量	價值	產量	價值	產量	價值	產量	價值	產量	價值	產量	價值
		Quantity	Value	Quantity	Value	Quantity	Value	Quantity	Value	Quantity	Value	Quantity	Value	Quantity	Value
0000	總        計	1,343 	317,263 	852 	104,830 	852 	104,830 	456 	38,466 	484 	141,618 	#REF!	#REF!	16,168 	4,730,056 
1000	遠洋漁業合計	-	-	63 	2,383 	63 	2,383 	407 	28,615 	7 	343 	#REF!	#REF!	-	-
1001	單船拖網　	-	-	63 	2,383 	63 	2,383 	407 	28,615 	7 	343 	#REF!	#REF!	-	-
1002	雙船拖網　	-	-	-	-	-	-	-	-	-	-	#REF!	#REF!	-	-
1003	鰹鮪圍網　	-	-	-	-	-	-	-	-	-	-	#REF!	#REF!	-	-
1004	秋刀魚棒受網　	-	-	-	-	-	-	-	-	-	-	#REF!	#REF!	-	-
1050	鮪延繩釣　	-	-	-	-	-	-	-	-	-	-	#REF!	#REF!	-	-
1051	魷釣　	-	-	-	-	-	-	-	-	-	-	#REF!	#REF!	-	-
1099	其他遠洋漁業　	-	-	-	-	-	-	-	-	-	-	#REF!	#REF!	-	-
2000	近海漁業合計	578 	143,048 	437 	38,760 	437 	38,760 	48 	9,410 	314 	86,485 	#REF!	#REF!	0 	15 
2001	巾著網　	-	-	-	-	-	-	-	-	-	-	#REF!	#REF!	-	-
2002	鯖鰺圍網　	-	-	-	-	-	-	-	-	-	-	#REF!	#REF!	-	-
2003	棒受網　	-	-	-	-	-	-	-	-	-	-	#REF!	#REF!	-	-
2004	中小拖網　	50 	9,428 	263 	22,798 	263 	22,798 	46 	9,138 	163 	51,527 	#REF!	#REF!	0 	5 
2005	刺網　	26 	6,504 	141 	11,590 	141 	11,590 	1 	210 	2 	447 	#REF!	#REF!	-	-
2006	扒網　	-	-	-	-	-	-	0 	30 	-	-	#REF!	#REF!	-	-
2049	其他網　	-	-	0 	31 	0 	31 	-	-	-	-	#REF!	#REF!	-	-
2050	鮪延繩釣　	-	-	-	-	-	-	-	-	-	-	#REF!	#REF!	-	-
2051	雜魚延繩釣　	434 	107,821 	24 	3,723 	24 	3,723 	0 	32 	135 	28,765 	#REF!	#REF!	0 	10 
2052	曳繩釣　	-	-	-	-	-	-	-	-	-	-	#REF!	#REF!	-	-
2053	一支釣　	69 	19,224 	8 	596 	8 	596 	0 	0 	14 	5,724 	#REF!	#REF!	-	-
2079	其他釣　	-	-	-	-	-	-	-	-	-	-	#REF!	#REF!	-	-
2096	籠具　	-	-	-	-	-	-	-	-	-	-	#REF!	#REF!	-	-
2097	珊瑚　	-	-	-	-	-	-	-	-	-	-	#REF!	#REF!	-	-
2098	飛魚卵漁業　	-	-	-	-	-	-	-	-	-	-	#REF!	#REF!	-	-
2099	其他近海漁業　	0 	71 	0 	22 	0 	22 	-	-	0 	22 	#REF!	#REF!	-	-
3000	沿岸漁業合計	120 	38,681 	352 	63,687 	352 	63,687 	2 	441 	164 	54,791 	#REF!	#REF!	19 	8,084 
3001	定置漁具　	3 	1,424 	52 	5,414 	52 	5,414 	0 	57 	30 	8,474 	#REF!	#REF!	-	-
3002	地曳網　	-	-	-	-	-	-	-	-	-	-	#REF!	#REF!	-	-
3003	焚寄網　	-	-	-	-	-	-	-	-	-	-	#REF!	#REF!	-	-
3004	刺網　	61 	21,053 	286 	57,095 	286 	57,095 	0 	2 	66 	29,709 	#REF!	#REF!	19 	8,084 
3005	追逐網　	-	-	-	-	-	-	-	-	-	-	#REF!	#REF!	-	-
3006	流袋網　	-	-	-	-	-	-	-	-	-	-	#REF!	#REF!	-	-
3007	魩鱙漁業　	-	-	-	-	-	-	-	-	-	-	#REF!	#REF!	-	-
3008	櫻花蝦漁業　	-	-	-	-	-	-	-	-	-	-	#REF!	#REF!	-	-
3009	赤尾青蝦漁業　	-	-	-	-	-	-	-	-	-	-	#REF!	#REF!	-	-
3049	其他網　	0 	7 	4 	249 	4 	249 	-	-	-	-	#REF!	#REF!	-	-
3050	一支釣　	42 	13,300 	9 	764 	9 	764 	2 	382 	6 	2,239 	#REF!	#REF!	-	-
3051	雜魚延繩釣　	10 	1,721 	0 	165 	0 	165 	-	-	59 	13,144 	#REF!	#REF!	-	-
3079	其他釣　	-	-	-	-	-	-	-	-	-	-	#REF!	#REF!	-	-
3096	鏢旗魚　	-	-	-	-	-	-	-	-	-	-	#REF!	#REF!	-	-
3097	遊漁　	3 	1,053 	-	-	-	-	-	-	3 	1,224 	#REF!	#REF!	-	-
3098	籠具　	-	-	-	-	-	-	-	-	-	-	#REF!	#REF!	-	-
3099	其他沿岸漁業　	1 	123 	-	-	-	-	-	-	-	-	#REF!	#REF!	-	-
4000	內陸漁撈合計	-	-	-	-	-	-	-	-	-	-	#REF!	#REF!	-	-
4001	河川漁撈　	-	-	-	-	-	-	-	-	-	-	#REF!	#REF!	-	-
4002	水庫漁撈　	-	-	-	-	-	-	-	-	-	-	#REF!	#REF!	-	-
4099	其他內陸漁撈　	-	-	-	-	-	-	-	-	-	-	#REF!	#REF!	-	-
5000	海面養殖合計	168 	58,870 	-	-	-	-	-	-	-	-	#REF!	#REF!	121 	30,300 
5001	淺海養殖　	-	-	-	-	-	-	-	-	-	-	#REF!	#REF!	-	-
5002	箱網養殖　	168 	58,870 	-	-	-	-	-	-	-	-	#REF!	#REF!	121 	30,300 
5099	其他海面養殖　	-	-	-	-	-	-	-	-	-	-	#REF!	#REF!	-	-
6000	內陸養殖合計	476 	76,664 	-	-	-	-	-	-	-	-	#REF!	#REF!	16,028 	4,691,657 
6001	鹹水魚塭　	451 	72,517 	-	-	-	-	-	-	-	-	#REF!	#REF!	16,028 	4,691,657 
6002	淡水魚塭　	26 	4,147 	-	-	-	-	-	-	-	-	#REF!	#REF!	-	-
6003	箱網養殖　	-	-	-	-	-	-	-	-	-	-	#REF!	#REF!	-	-
6004	觀賞魚養殖　	-	-	-	-	-	-	-	-	-	-	#REF!	#REF!	-	-
6099	其他內陸養殖　	-	-	-	-	-	-	-	-	-	-	#REF!	#REF!	-	-
"註:1.民國99年以後觀賞魚改以尾數計算，不合計產量只合計價值。
     2.本表只揭露主要魚種，各魚種生產量值之合計，將不等於總生產量值。"						"1.The Ornamental fish were counted by number since 2010. Only the value was summed, but not the production.     
2.Only major species are showed in this table, therefore the sum of production/value of species does not match  the grand total."									
7‧漁業生產量									7‧FISHERIES PRODUCTION						
				單位：	產量：公噸, 千尾(觀賞魚)						Unit：	Quantity：M.T.; 1000Pcs. by ornamental fish			
	(1) 漁業種類別魚類別生產量值(續)				價值：新臺幣千元			(1) By type of fisheries by species(Continued)				Value：Thousand NT $			
	"                    魚類別
                    Species"	主        要        魚        類													
		石  斑  類												鰺    科	
		鞍帶石斑魚		其他石斑		合齒魚科		鯙科		海鱺		眼眶魚		小計	
代碼	"漁業種類
Type of Fishery"	26003		26099		29000		30000		34001		35001		Sub Total	
Code		產量	價值	產量	價值	產量	價值	產量	價值	產量	價值	產量	價值	產量	價值
		Quantity	Value	Quantity	Value	Quantity	Value	Quantity	Value	Quantity	Value	Quantity	Value	Quantity	Value
0000	總        計	7,957 	2,259,445 	837 	249,956 	607 	31,286 	656 	54,536 	1,533 	402,407 	8,485 	147,459 	#REF!	#REF!
1000	遠洋漁業合計	-	-	27 	2,162 	310 	12,485 	397 	30,200 	46 	1,758 	126 	3,021 	#REF!	#REF!
1001	單船拖網　	-	-	27 	2,162 	310 	12,485 	397 	30,200 	40 	1,615 	-	-	#REF!	#REF!
1002	雙船拖網　	-	-	-	-	-	-	-	-	-	-	-	-	#REF!	#REF!
1003	鰹鮪圍網　	-	-	-	-	-	-	-	-	-	-	-	-	#REF!	#REF!
1004	秋刀魚棒受網　	-	-	-	-	-	-	-	-	-	-	-	-	#REF!	#REF!
1050	鮪延繩釣　	-	-	-	-	-	-	-	-	6 	142 	126 	3,021 	#REF!	#REF!
1051	魷釣　	-	-	-	-	-	-	-	-	-	-	-	-	#REF!	#REF!
1099	其他遠洋漁業　	-	-	-	-	-	-	-	-	-	-	-	-	#REF!	#REF!
