���k�N�X	���k�W��	�������	����q����
2050	鮪延繩釣　	觀賞魚類	-
2051	雜魚延繩釣　	觀賞魚類	-
2052	曳繩釣　	觀賞魚類	-
2053	一支釣　	觀賞魚類	-
2079	其他釣　	觀賞魚類	-
2096	籠具　	觀賞魚類	-
2097	珊瑚　	觀賞魚類	-
2098	飛魚卵漁業　	觀賞魚類	-
2099	其他近海漁業　	觀賞魚類	-
3000	沿岸漁業合計	觀賞魚類	-
3001	定置漁具　	觀賞魚類	-
3002	地曳網　	觀賞魚類	-
3003	焚寄網　	觀賞魚類	-
3004	刺網　	觀賞魚類	-
3005	追逐網　	觀賞魚類	-
3006	流袋網　	觀賞魚類	-
3007	魩鱙漁業　	觀賞魚類	-
3008	櫻花蝦漁業　	觀賞魚類	-
3009	赤尾青蝦漁業　	觀賞魚類	-
3049	其他網　	觀賞魚類	-
3050	一支釣　	觀賞魚類	-
3051	雜魚延繩釣　	觀賞魚類	-
3079	其他釣　	觀賞魚類	-
3096	鏢旗魚　	觀賞魚類	-
3097	遊漁　	觀賞魚類	-
3098	籠具　	觀賞魚類	-
3099	其他沿岸漁業　	觀賞魚類	-
4000	內陸漁撈合計	觀賞魚類	-
4001	河川漁撈　	觀賞魚類	-
4002	水庫漁撈　	觀賞魚類	-
4099	其他內陸漁撈　	觀賞魚類	-
5000	海面養殖合計	觀賞魚類	-
5001	淺海養殖　	觀賞魚類	-
5002	箱網養殖　	觀賞魚類	-
5099	其他海面養殖　	觀賞魚類	-
6000	內陸養殖合計	觀賞魚類	-
6001	鹹水魚塭　	觀賞魚類	-
6002	淡水魚塭　	觀賞魚類	-
6003	箱網養殖　	觀賞魚類	-
6004	觀賞魚養殖　	觀賞魚類	-
6099	其他內陸養殖　	觀賞魚類	-
0000	總 計	麥奇鈎吻鮭	11,263
1000	遠洋漁業合計	麥奇鈎吻鮭	-
1001	單船拖網　	麥奇鈎吻鮭	-
1002	雙船拖網　	麥奇鈎吻鮭	-
1003	鰹鮪圍網　	麥奇鈎吻鮭	-
1004	秋刀魚棒受網　	麥奇鈎吻鮭	-
1050	鮪延繩釣　	麥奇鈎吻鮭	-
1051	魷釣　	麥奇鈎吻鮭	-
1099	其他遠洋漁業　	麥奇鈎吻鮭	-
2000	近海漁業合計	麥奇鈎吻鮭	27
2001	巾著網　	麥奇鈎吻鮭	-
2002	鯖鰺圍網　	麥奇鈎吻鮭	-
2003	棒受網　	麥奇鈎吻鮭	-
2004	中小拖網　	麥奇鈎吻鮭	1
2005	刺網　	麥奇鈎吻鮭	26
2006	扒網　	麥奇鈎吻鮭	-
2049	其他網　	麥奇鈎吻鮭	-
2050	鮪延繩釣　	麥奇鈎吻鮭	-
2051	雜魚延繩釣　	麥奇鈎吻鮭	-
2052	曳繩釣　	麥奇鈎吻鮭	-
2053	一支釣　	麥奇鈎吻鮭	0
2079	其他釣　	麥奇鈎吻鮭	-
2096	籠具　	麥奇鈎吻鮭	-
2097	珊瑚　	麥奇鈎吻鮭	-
2098	飛魚卵漁業　	麥奇鈎吻鮭	-
2099	其他近海漁業　	麥奇鈎吻鮭	-
3000	沿岸漁業合計	麥奇鈎吻鮭	48
3001	定置漁具　	麥奇鈎吻鮭	0
3002	地曳網　	麥奇鈎吻鮭	-
3003	焚寄網　	麥奇鈎吻鮭	-
3004	刺網　	麥奇鈎吻鮭	44
3005	追逐網　	麥奇鈎吻鮭	-
3006	流袋網　	麥奇鈎吻鮭	-
3007	魩鱙漁業　	麥奇鈎吻鮭	-
3008	櫻花蝦漁業　	麥奇鈎吻鮭	-
3009	赤尾青蝦漁業　	麥奇鈎吻鮭	-
3049	其他網　	麥奇鈎吻鮭	-
3050	一支釣　	麥奇鈎吻鮭	4
3051	雜魚延繩釣　	麥奇鈎吻鮭	-
3079	其他釣　	麥奇鈎吻鮭	-
3096	鏢旗魚　	麥奇鈎吻鮭	-
3097	遊漁　	麥奇鈎吻鮭	-
3098	籠具　	麥奇鈎吻鮭	-
3099	其他沿岸漁業　	麥奇鈎吻鮭	-
4000	內陸漁撈合計	麥奇鈎吻鮭	-
4001	河川漁撈　	麥奇鈎吻鮭	-
4002	水庫漁撈　	麥奇鈎吻鮭	-
4099	其他內陸漁撈　	麥奇鈎吻鮭	-
5000	海面養殖合計	麥奇鈎吻鮭	-
5001	淺海養殖　	麥奇鈎吻鮭	-
5002	箱網養殖　	麥奇鈎吻鮭	-
5099	其他海面養殖　	麥奇鈎吻鮭	-
6000	內陸養殖合計	麥奇鈎吻鮭	11,187
6001	鹹水魚塭　	麥奇鈎吻鮭	1,659
6002	淡水魚塭　	麥奇鈎吻鮭	9,520
6003	箱網養殖　	麥奇鈎吻鮭	-
6004	觀賞魚養殖　	麥奇鈎吻鮭	-
6099	其他內陸養殖　	麥奇鈎吻鮭	9
0000	總 計	香魚	51,064
1000	遠洋漁業合計	香魚	-
1001	單船拖網　	香魚	-
1002	雙船拖網　	香魚	-
1003	鰹鮪圍網　	香魚	-
1004	秋刀魚棒受網　	香魚	-
1050	鮪延繩釣　	香魚	-
1051	魷釣　	香魚	-
1099	其他遠洋漁業　	香魚	-
2000	近海漁業合計	香魚	-
2001	巾著網　	香魚	-
2002	鯖鰺圍網　	香魚	-
2003	棒受網　	香魚	-
2004	中小拖網　	香魚	-
2005	刺網　	香魚	-
2006	扒網　	香魚	-
2049	其他網　	香魚	-
2050	鮪延繩釣　	香魚	-
2051	雜魚延繩釣　	香魚	-
2052	曳繩釣　	香魚	-
2053	一支釣　	香魚	-
2079	其他釣　	香魚	-
2096	籠具　	香魚	-
2097	珊瑚　	香魚	-
2098	飛魚卵漁業　	香魚	-
2099	其他近海漁業　	香魚	-
3000	沿岸漁業合計	香魚	-
3001	定置漁具　	香魚	-
3002	地曳網　	香魚	-
3003	焚寄網　	香魚	-
3004	刺網　	香魚	-
3005	追逐網　	香魚	-
3006	流袋網　	香魚	-
3007	魩鱙漁業　	香魚	-
3008	櫻花蝦漁業　	香魚	-
3009	赤尾青蝦漁業　	香魚	-
3049	其他網　	香魚	-
3050	一支釣　	香魚	-
3051	雜魚延繩釣　	香魚	-
3079	其他釣　	香魚	-
3096	鏢旗魚　	香魚	-
3097	遊漁　	香魚	-
3098	籠具　	香魚	-
3099	其他沿岸漁業　	香魚	-
4000	內陸漁撈合計	香魚	-
4001	河川漁撈　	香魚	-
4002	水庫漁撈　	香魚	-
4099	其他內陸漁撈　	香魚	-
5000	海面養殖合計	香魚	-
5001	淺海養殖　	香魚	-
5002	箱網養殖　	香魚	-
5099	其他海面養殖　	香魚	-
6000	內陸養殖合計	香魚	51,064
6001	鹹水魚塭　	香魚	-
6002	淡水魚塭　	香魚	-
6003	箱網養殖　	香魚	-
6004	觀賞魚養殖　	香魚	51,064
6099	其他內陸養殖　	香魚	-
0000	總 計	虱目魚	170
1000	遠洋漁業合計	虱目魚	-
1001	單船拖網　	虱目魚	-
1002	雙船拖網　	虱目魚	-
1003	鰹鮪圍網　	虱目魚	-
1004	秋刀魚棒受網　	虱目魚	-
1050	鮪延繩釣　	虱目魚	-
1051	魷釣　	虱目魚	-
1099	其他遠洋漁業　	虱目魚	-
2000	近海漁業合計	虱目魚	-
2001	巾著網　	虱目魚	-
2002	鯖鰺圍網　	虱目魚	-
2003	棒受網　	虱目魚	-
2004	中小拖網　	虱目魚	-
2005	刺網　	虱目魚	-
2006	扒網　	虱目魚	-
2049	其他網　	虱目魚	-
2050	鮪延繩釣　	虱目魚	-
2051	雜魚延繩釣　	虱目魚	-
2052	曳繩釣　	虱目魚	-
2053	一支釣　	虱目魚	-
2079	其他釣　	虱目魚	-
2096	籠具　	虱目魚	-
2097	珊瑚　	虱目魚	-
2098	飛魚卵漁業　	虱目魚	-
2099	其他近海漁業　	虱目魚	-
3000	沿岸漁業合計	虱目魚	-
3001	定置漁具　	虱目魚	-
3002	地曳網　	虱目魚	-
3003	焚寄網　	虱目魚	-
3004	刺網　	虱目魚	-
3005	追逐網　	虱目魚	-
3006	流袋網　	虱目魚	-
3007	魩鱙漁業　	虱目魚	-
3008	櫻花蝦漁業　	虱目魚	-
3009	赤尾青蝦漁業　	虱目魚	-
3049	其他網　	虱目魚	-
3050	一支釣　	虱目魚	-
3051	雜魚延繩釣　	虱目魚	-
3079	其他釣　	虱目魚	-
3096	鏢旗魚　	虱目魚	-
3097	遊漁　	虱目魚	-
3098	籠具　	虱目魚	-
3099	其他沿岸漁業　	虱目魚	-
4000	內陸漁撈合計	虱目魚	-
4001	河川漁撈　	虱目魚	-
4002	水庫漁撈　	虱目魚	-
4099	其他內陸漁撈　	虱目魚	-
5000	海面養殖合計	虱目魚	-
5001	淺海養殖　	虱目魚	-
