���k�N�X	���k�W��	�������	����q����
3002	地曳網　	飛魚卵	-
3003	焚寄網　	飛魚卵	-
3004	刺網　	飛魚卵	3
3005	追逐網　	飛魚卵	-
3006	流袋網　	飛魚卵	-
3007	魩鱙漁業　	飛魚卵	-
3008	櫻花蝦漁業　	飛魚卵	-
3009	赤尾青蝦漁業　	飛魚卵	-
3049	其他網　	飛魚卵	-
3050	一支釣　	飛魚卵	3
3051	雜魚延繩釣　	飛魚卵	0
3079	其他釣　	飛魚卵	-
3096	鏢旗魚　	飛魚卵	-
3097	遊漁　	飛魚卵	-
3098	籠具　	飛魚卵	-
3099	其他沿岸漁業　	飛魚卵	-
4000	內陸漁撈合計	飛魚卵	-
4001	河川漁撈　	飛魚卵	-
4002	水庫漁撈　	飛魚卵	-
4099	其他內陸漁撈　	飛魚卵	-
5000	海面養殖合計	飛魚卵	1,055
5001	淺海養殖　	飛魚卵	-
5002	箱網養殖　	飛魚卵	1,055
5099	其他海面養殖　	飛魚卵	-
6000	內陸養殖合計	飛魚卵	460
6001	鹹水魚塭　	飛魚卵	460
6002	淡水魚塭　	飛魚卵	-
6003	箱網養殖　	飛魚卵	-
6004	觀賞魚養殖　	飛魚卵	-
6099	其他內陸養殖　	飛魚卵	-
0000	總 計	帶魚屬	16,586
1000	遠洋漁業合計	帶魚屬	26
1001	單船拖網　	帶魚屬	-
1002	雙船拖網　	帶魚屬	-
1003	鰹鮪圍網　	帶魚屬	-
1004	秋刀魚棒受網　	帶魚屬	-
1050	鮪延繩釣　	帶魚屬	26
1051	魷釣　	帶魚屬	-
1099	其他遠洋漁業　	帶魚屬	-
2000	近海漁業合計	帶魚屬	13,913
2001	巾著網　	帶魚屬	-
2002	鯖鰺圍網　	帶魚屬	-
2003	棒受網　	帶魚屬	452
2004	中小拖網　	帶魚屬	1,250
2005	刺網　	帶魚屬	93
2006	扒網　	帶魚屬	11,754
2049	其他網　	帶魚屬	2
2050	鮪延繩釣　	帶魚屬	-
2051	雜魚延繩釣　	帶魚屬	94
2052	曳繩釣　	帶魚屬	3
2053	一支釣　	帶魚屬	263
2079	其他釣　	帶魚屬	-
2096	籠具　	帶魚屬	-
2097	珊瑚　	帶魚屬	-
2098	飛魚卵漁業　	帶魚屬	-
2099	其他近海漁業　	帶魚屬	0
3000	沿岸漁業合計	帶魚屬	1,743
3001	定置漁具　	帶魚屬	904
3002	地曳網　	帶魚屬	-
3003	焚寄網　	帶魚屬	20
3004	刺網　	帶魚屬	431
3005	追逐網　	帶魚屬	-
3006	流袋網　	帶魚屬	-
3007	魩鱙漁業　	帶魚屬	-
3008	櫻花蝦漁業　	帶魚屬	-
3009	赤尾青蝦漁業　	帶魚屬	-
3049	其他網　	帶魚屬	0
3050	一支釣　	帶魚屬	343
3051	雜魚延繩釣　	帶魚屬	41
3079	其他釣　	帶魚屬	-
3096	鏢旗魚　	帶魚屬	-
3097	遊漁　	帶魚屬	3
3098	籠具　	帶魚屬	-
3099	其他沿岸漁業　	帶魚屬	-
4000	內陸漁撈合計	帶魚屬	-
4001	河川漁撈　	帶魚屬	-
4002	水庫漁撈　	帶魚屬	-
4099	其他內陸漁撈　	帶魚屬	-
5000	海面養殖合計	帶魚屬	360
5001	淺海養殖　	帶魚屬	-
5002	箱網養殖　	帶魚屬	360
5099	其他海面養殖　	帶魚屬	-
6000	內陸養殖合計	帶魚屬	544
6001	鹹水魚塭　	帶魚屬	544
6002	淡水魚塭　	帶魚屬	-
6003	箱網養殖　	帶魚屬	-
6004	觀賞魚養殖　	帶魚屬	-
6099	其他內陸養殖　	帶魚屬	-
0000	總 計	日本銀帶鯡	7,433
1000	遠洋漁業合計	日本銀帶鯡	-
1001	單船拖網　	日本銀帶鯡	-
1002	雙船拖網　	日本銀帶鯡	-
1003	鰹鮪圍網　	日本銀帶鯡	-
1004	秋刀魚棒受網　	日本銀帶鯡	-
1050	鮪延繩釣　	日本銀帶鯡	-
1051	魷釣　	日本銀帶鯡	-
1099	其他遠洋漁業　	日本銀帶鯡	-
2000	近海漁業合計	日本銀帶鯡	6,908
2001	巾著網　	日本銀帶鯡	-
2002	鯖鰺圍網　	日本銀帶鯡	-
2003	棒受網　	日本銀帶鯡	102
2004	中小拖網　	日本銀帶鯡	220
2005	刺網　	日本銀帶鯡	26
2006	扒網　	日本銀帶鯡	6,535
2049	其他網　	日本銀帶鯡	-
2050	鮪延繩釣　	日本銀帶鯡	-
2051	雜魚延繩釣　	日本銀帶鯡	1
2052	曳繩釣　	日本銀帶鯡	3
2053	一支釣　	日本銀帶鯡	21
2079	其他釣　	日本銀帶鯡	-
2096	籠具　	日本銀帶鯡	-
2097	珊瑚　	日本銀帶鯡	-
2098	飛魚卵漁業　	日本銀帶鯡	-
2099	其他近海漁業　	日本銀帶鯡	-
3000	沿岸漁業合計	日本銀帶鯡	525
3001	定置漁具　	日本銀帶鯡	368
3002	地曳網　	日本銀帶鯡	-
3003	焚寄網　	日本銀帶鯡	3
3004	刺網　	日本銀帶鯡	68
3005	追逐網　	日本銀帶鯡	-
3006	流袋網　	日本銀帶鯡	-
3007	魩鱙漁業　	日本銀帶鯡	-
3008	櫻花蝦漁業　	日本銀帶鯡	-
3009	赤尾青蝦漁業　	日本銀帶鯡	-
3049	其他網　	日本銀帶鯡	-
3050	一支釣　	日本銀帶鯡	86
3051	雜魚延繩釣　	日本銀帶鯡	-
3079	其他釣　	日本銀帶鯡	-
3096	鏢旗魚　	日本銀帶鯡	-
3097	遊漁　	日本銀帶鯡	-
3098	籠具　	日本銀帶鯡	-
3099	其他沿岸漁業　	日本銀帶鯡	-
4000	內陸漁撈合計	日本銀帶鯡	-
4001	河川漁撈　	日本銀帶鯡	-
4002	水庫漁撈　	日本銀帶鯡	-
4099	其他內陸漁撈　	日本銀帶鯡	-
5000	海面養殖合計	日本銀帶鯡	-
5001	淺海養殖　	日本銀帶鯡	-
5002	箱網養殖　	日本銀帶鯡	-
5099	其他海面養殖　	日本銀帶鯡	-
6000	內陸養殖合計	日本銀帶鯡	-
6001	鹹水魚塭　	日本銀帶鯡	-
6002	淡水魚塭　	日本銀帶鯡	-
6003	箱網養殖　	日本銀帶鯡	-
6004	觀賞魚養殖　	日本銀帶鯡	-
6099	其他內陸養殖　	日本銀帶鯡	-
0000	總 計	其他鯡	5,080
1000	遠洋漁業合計	其他鯡	26
1001	單船拖網　	其他鯡	-
1002	雙船拖網　	其他鯡	-
1003	鰹鮪圍網　	其他鯡	-
1004	秋刀魚棒受網　	其他鯡	-
1050	鮪延繩釣　	其他鯡	26
1051	魷釣　	其他鯡	-
1099	其他遠洋漁業　	其他鯡	-
2000	近海漁業合計	其他鯡	4,852
2001	巾著網　	其他鯡	-
2002	鯖鰺圍網　	其他鯡	-
2003	棒受網　	其他鯡	147
2004	中小拖網　	其他鯡	508
2005	刺網　	其他鯡	11
2006	扒網　	其他鯡	4,183
2049	其他網　	其他鯡	-
2050	鮪延繩釣　	其他鯡	-
2051	雜魚延繩釣　	其他鯡	1
2052	曳繩釣　	其他鯡	-
2053	一支釣　	其他鯡	2
2079	其他釣　	其他鯡	-
2096	籠具　	其他鯡	-
2097	珊瑚　	其他鯡	-
2098	飛魚卵漁業　	其他鯡	-
2099	其他近海漁業　	其他鯡	-
3000	沿岸漁業合計	其他鯡	202
3001	定置漁具　	其他鯡	199
3002	地曳網　	其他鯡	-
3003	焚寄網　	其他鯡	-
3004	刺網　	其他鯡	3
3005	追逐網　	其他鯡	-
3006	流袋網　	其他鯡	-
3007	魩鱙漁業　	其他鯡	-
3008	櫻花蝦漁業　	其他鯡	-
3009	赤尾青蝦漁業　	其他鯡	-
3049	其他網　	其他鯡	-
3050	一支釣　	其他鯡	-
3051	雜魚延繩釣　	其他鯡	-
3079	其他釣　	其他鯡	-
3096	鏢旗魚　	其他鯡	-
3097	遊漁　	其他鯡	-
3098	籠具　	其他鯡	-
3099	其他沿岸漁業　	其他鯡	-
4000	內陸漁撈合計	其他鯡	-
4001	河川漁撈　	其他鯡	-
4002	水庫漁撈　	其他鯡	-
4099	其他內陸漁撈　	其他鯡	-
5000	海面養殖合計	其他鯡	-
5001	淺海養殖　	其他鯡	-
5002	箱網養殖　	其他鯡	-
5099	其他海面養殖　	其他鯡	-
6000	內陸養殖合計	其他鯡	-
6001	鹹水魚塭　	其他鯡	-
6002	淡水魚塭　	其他鯡	-
6003	箱網養殖　	其他鯡	-
6004	觀賞魚養殖　	其他鯡	-
6099	其他內陸養殖　	其他鯡	-
0000	總 計	其他	567
1000	遠洋漁業合計	其他	-
1001	單船拖網　	其他	-
1002	雙船拖網　	其他	-
1003	鰹鮪圍網　	其他	-
1004	秋刀魚棒受網　	其他	-
1050	鮪延繩釣　	其他	-
1051	魷釣　	其他	-
1099	其他遠洋漁業　	其他	-
2000	近海漁業合計	其他	-
2001	巾著網　	其他	-
2002	鯖鰺圍網　	其他	-
2003	棒受網　	其他	-
2004	中小拖網　	其他	-
2005	刺網　	其他	-
2006	扒網　	其他	-
2049	其他網　	其他	-
2050	鮪延繩釣　	其他	-
2051	雜魚延繩釣　	其他	-
2052	曳繩釣　	其他	-
2053	一支釣　	其他	-
2079	其他釣　	其他	-
2096	籠具　	其他	-
2097	珊瑚　	其他	-
2098	飛魚卵漁業　	其他	-
2099	其他近海漁業　	其他	-
3000	沿岸漁業合計	其他	7
3001	定置漁具　	其他	-
3002	地曳網　	其他	-
3003	焚寄網　	其他	-
3004	刺網　	其他	7
3005	追逐網　	其他	-
3006	流袋網　	其他	-
3007	魩鱙漁業　	其他	-
3008	櫻花蝦漁業　	其他	-
3009	赤尾青蝦漁業　	其他	-
3049	其他網　	其他	-
3050	一支釣　	其他	-
3051	雜魚延繩釣　	其他	-
3079	其他釣　	其他	-
3096	鏢旗魚　	其他	-
3097	遊漁　	其他	-
3098	籠具　	其他	-
3099	其他沿岸漁業　	其他	-
4000	內陸漁撈合計	其他	80
4001	河川漁撈　	其他	-
4002	水庫漁撈　	其他	80
4099	其他內陸漁撈　	其他	-
5000	海面養殖合計	其他	-
5001	淺海養殖　	其他	-
5002	箱網養殖　	其他	-
5099	其他海面養殖　	其他	-
6000	內陸養殖合計	其他	481
6001	鹹水魚塭　	其他	-
6002	淡水魚塭　	其他	423
6003	箱網養殖　	其他	-
6004	觀賞魚養殖　	其他	-
6099	其他內陸養殖　	其他	58
0000	總 計	魩仔	3,309
1000	遠洋漁業合計	魩仔	-
1001	單船拖網　	魩仔	-
1002	雙船拖網　	魩仔	-
1003	鰹鮪圍網　	魩仔	-
1004	秋刀魚棒受網　	魩仔	-
1050	鮪延繩釣　	魩仔	-
1051	魷釣　	魩仔	-
1099	其他遠洋漁業　	魩仔	-
2000	近海漁業合計	魩仔	1,511
2001	巾著網　	魩仔	57
2002	鯖鰺圍網　	魩仔	-
2003	棒受網　	魩仔	-
2004	中小拖網　	魩仔	349
2005	刺網　	魩仔	999
2006	扒網　	魩仔	101
2049	其他網　	魩仔	-
2050	鮪延繩釣　	魩仔	-
2051	雜魚延繩釣　	魩仔	4
2052	曳繩釣　	魩仔	-
2053	一支釣　	魩仔	-
2079	其他釣　	魩仔	-
2096	籠具　	魩仔	-
2097	珊瑚　	魩仔	-
2098	飛魚卵漁業　	魩仔	-
2099	其他近海漁業　	魩仔	-
3000	沿岸漁業合計	魩仔	287
3001	定置漁具　	魩仔	4
3002	地曳網　	魩仔	-
3003	焚寄網　	魩仔	-
3004	刺網　	魩仔	282
3005	追逐網　	魩仔	-
3006	流袋網　	魩仔	-
3007	魩鱙漁業　	魩仔	-
3008	櫻花蝦漁業　	魩仔	-
3009	赤尾青蝦漁業　	魩仔	-
3049	其他網　	魩仔	-
3050	一支釣　	魩仔	-
3051	雜魚延繩釣　	魩仔	-
3079	其他釣　	魩仔	-
3096	鏢旗魚　	魩仔	-
3097	遊漁　	魩仔	-
3098	籠具　	魩仔	-
3099	其他沿岸漁業　	魩仔	-
4000	內陸漁撈合計	魩仔	-
4001	河川漁撈　	魩仔	-
4002	水庫漁撈　	魩仔	-
4099	其他內陸漁撈　	魩仔	-
5000	海面養殖合計	魩仔	-
5001	淺海養殖　	魩仔	-
5002	箱網養殖　	魩仔	-
5099	其他海面養殖　	魩仔	-
6000	內陸養殖合計	魩仔	1,511
6001	鹹水魚塭　	魩仔	640
6002	淡水魚塭　	魩仔	872
6003	箱網養殖　	魩仔	-
6004	觀賞魚養殖　	魩仔	-
6099	其他內陸養殖　	魩仔	-
0000	總 計	花腹鯖	185
1000	遠洋漁業合計	花腹鯖	-
1001	單船拖網　	花腹鯖	-
1002	雙船拖網　	花腹鯖	-
1003	鰹鮪圍網　	花腹鯖	-
1004	秋刀魚棒受網　	花腹鯖	-
1050	鮪延繩釣　	花腹鯖	-
1051	魷釣　	花腹鯖	-
1099	其他遠洋漁業　	花腹鯖	-
2000	近海漁業合計	花腹鯖	149
2001	巾著網　	花腹鯖	-
2002	鯖鰺圍網　	花腹鯖	-
2003	棒受網　	花腹鯖	-
2004	中小拖網　	花腹鯖	51
2005	刺網　	花腹鯖	36
2006	扒網　	花腹鯖	60
2049	其他網　	花腹鯖	-
2050	鮪延繩釣　	花腹鯖	-
2051	雜魚延繩釣　	花腹鯖	1
2052	曳繩釣　	花腹鯖	-
2053	一支釣　	花腹鯖	1
2079	其他釣　	花腹鯖	-
2096	籠具　	花腹鯖	-
2097	珊瑚　	花腹鯖	-
2098	飛魚卵漁業　	花腹鯖	-
2099	其他近海漁業　	花腹鯖	-
3000	沿岸漁業合計	花腹鯖	36
3001	定置漁具　	花腹鯖	3
3002	地曳網　	花腹鯖	-
3003	焚寄網　	花腹鯖	0
3004	刺網　	花腹鯖	31
3005	追逐網　	花腹鯖	-
3006	流袋網　	花腹鯖	-
3007	魩鱙漁業　	花腹鯖	-
3008	櫻花蝦漁業　	花腹鯖	-
3009	赤尾青蝦漁業　	花腹鯖	-
3049	其他網　	花腹鯖	-
3050	一支釣　	花腹鯖	1
3051	雜魚延繩釣　	花腹鯖	-
3079	其他釣　	花腹鯖	-
3096	鏢旗魚　	花腹鯖	-
3097	遊漁　	花腹鯖	-
3098	籠具　	花腹鯖	-
3099	其他沿岸漁業　	花腹鯖	-
4000	內陸漁撈合計	花腹鯖	-
4001	河川漁撈　	花腹鯖	-
4002	水庫漁撈　	花腹鯖	-
4099	其他內陸漁撈　	花腹鯖	-
5000	海面養殖合計	花腹鯖	-
5001	淺海養殖　	花腹鯖	-
5002	箱網養殖　	花腹鯖	-
5099	其他海面養殖　	花腹鯖	-
6000	內陸養殖合計	花腹鯖	-
6001	鹹水魚塭　	花腹鯖	-
6002	淡水魚塭　	花腹鯖	-
6003	箱網養殖　	花腹鯖	-
6004	觀賞魚養殖　	花腹鯖	-
6099	其他內陸養殖　	花腹鯖	-
0000	總 計	扁花鰹	592
1000	遠洋漁業合計	扁花鰹	-
1001	單船拖網　	扁花鰹	-
1002	雙船拖網　	扁花鰹	-
1003	鰹鮪圍網　	扁花鰹	-
1004	秋刀魚棒受網　	扁花鰹	-
1050	鮪延繩釣　	扁花鰹	-
1051	魷釣　	扁花鰹	-
1099	其他遠洋漁業　	扁花鰹	-
2000	近海漁業合計	扁花鰹	555
2001	巾著網　	扁花鰹	-
2002	鯖鰺圍網　	扁花鰹	-
2003	棒受網　	扁花鰹	-
2004	中小拖網　	扁花鰹	530
2005	刺網　	扁花鰹	24
2006	扒網　	扁花鰹	-
2049	其他網　	扁花鰹	-
2050	鮪延繩釣　	扁花鰹	-
2051	雜魚延繩釣　	扁花鰹	0
2052	曳繩釣　	扁花鰹	-
2053	一支釣　	扁花鰹	0
2079	其他釣　	扁花鰹	-
2096	籠具　	扁花鰹	-
2097	珊瑚　	扁花鰹	-
2098	飛魚卵漁業　	扁花鰹	-
2099	其他近海漁業　	扁花鰹	-
3000	沿岸漁業合計	扁花鰹	38
3001	定置漁具　	扁花鰹	2
3002	地曳網　	扁花鰹	-
3003	焚寄網　	扁花鰹	-
3004	刺網　	扁花鰹	30
3005	追逐網　	扁花鰹	-
3006	流袋網　	扁花鰹	-
3007	魩鱙漁業　	扁花鰹	-
3008	櫻花蝦漁業　	扁花鰹	-
3009	赤尾青蝦漁業　	扁花鰹	-
3049	其他網　	扁花鰹	-
3050	一支釣　	扁花鰹	-
3051	雜魚延繩釣　	扁花鰹	6
3079	其他釣　	扁花鰹	-
3096	鏢旗魚　	扁花鰹	-
3097	遊漁　	扁花鰹	-
3098	籠具　	扁花鰹	-
3099	其他沿岸漁業　	扁花鰹	-
4000	內陸漁撈合計	扁花鰹	-
4001	河川漁撈　	扁花鰹	-
4002	水庫漁撈　	扁花鰹	-
4099	其他內陸漁撈　	扁花鰹	-
5000	海面養殖合計	扁花鰹	-
5001	淺海養殖　	扁花鰹	-
5002	箱網養殖　	扁花鰹	-
5099	其他海面養殖　	扁花鰹	-
6000	內陸養殖合計	扁花鰹	-
6001	鹹水魚塭　	扁花鰹	-
6002	淡水魚塭　	扁花鰹	-
6003	箱網養殖　	扁花鰹	-
6004	觀賞魚養殖　	扁花鰹	-
6099	其他內陸養殖　	扁花鰹	-
0000	總 計	圓花鰹	4,018
1000	遠洋漁業合計	圓花鰹	-
1001	單船拖網　	圓花鰹	-
1002	雙船拖網　	圓花鰹	-
1003	鰹鮪圍網　	圓花鰹	-
1004	秋刀魚棒受網　	圓花鰹	-
1050	鮪延繩釣　	圓花鰹	-
1051	魷釣　	圓花鰹	-
1099	其他遠洋漁業　	圓花鰹	-
2000	近海漁業合計	圓花鰹	212
2001	巾著網　	圓花鰹	-
2002	鯖鰺圍網　	圓花鰹	-
2003	棒受網　	圓花鰹	-
2004	中小拖網　	圓花鰹	170
2005	刺網　	圓花鰹	37
2006	扒網　	圓花鰹	-
2049	其他網　	圓花鰹	-
2050	鮪延繩釣　	圓花鰹	-
2051	雜魚延繩釣　	圓花鰹	2
2052	曳繩釣　	圓花鰹	-
2053	一支釣　	圓花鰹	4
2079	其他釣　	圓花鰹	-
2096	籠具　	圓花鰹	-
2097	珊瑚　	圓花鰹	-
2098	飛魚卵漁業　	圓花鰹	-
2099	其他近海漁業　	圓花鰹	-
3000	沿岸漁業合計	圓花鰹	371
3001	定置漁具　	圓花鰹	181
3002	地曳網　	圓花鰹	-
3003	焚寄網　	圓花鰹	-
3004	刺網　	圓花鰹	186
3005	追逐網　	圓花鰹	-
3006	流袋網　	圓花鰹	-
3007	魩鱙漁業　	圓花鰹	-
3008	櫻花蝦漁業　	圓花鰹	-
3009	赤尾青蝦漁業　	圓花鰹	-
3049	其他網　	圓花鰹	0
3050	一支釣　	圓花鰹	4
3051	雜魚延繩釣　	圓花鰹	-
3079	其他釣　	圓花鰹	-
3096	鏢旗魚　	圓花鰹	-
3097	遊漁　	圓花鰹	-
3098	籠具　	圓花鰹	-
3099	其他沿岸漁業　	圓花鰹	-
4000	內陸漁撈合計	圓花鰹	-
4001	河川漁撈　	圓花鰹	-
4002	水庫漁撈　	圓花鰹	-
4099	其他內陸漁撈　	圓花鰹	-
5000	海面養殖合計	圓花鰹	-
5001	淺海養殖　	圓花鰹	-
5002	箱網養殖　	圓花鰹	-
5099	其他海面養殖　	圓花鰹	-
6000	內陸養殖合計	圓花鰹	3,434
6001	鹹水魚塭　	圓花鰹	3,434
6002	淡水魚塭　	圓花鰹	-
6003	箱網養殖　	圓花鰹	-
6004	觀賞魚養殖　	圓花鰹	-
6099	其他內陸養殖　	圓花鰹	-
0000	總 計	其他鰹類	54
1000	遠洋漁業合計	其他鰹類	-
1001	單船拖網　	其他鰹類	-
1002	雙船拖網　	其他鰹類	-
1003	鰹鮪圍網　	其他鰹類	-
1004	秋刀魚棒受網　	其他鰹類	-
1050	鮪延繩釣　	其他鰹類	-
1051	魷釣　	其他鰹類	-
1099	其他遠洋漁業　	其他鰹類	-
2000	近海漁業合計	其他鰹類	54
2001	巾著網　	其他鰹類	-
2002	鯖鰺圍網　	其他鰹類	-
2003	棒受網　	其他鰹類	-
2004	中小拖網　	其他鰹類	-
2005	刺網　	其他鰹類	-
2006	扒網　	其他鰹類	-
2049	其他網　	其他鰹類	-
2050	鮪延繩釣　	其他鰹類	-
2051	雜魚延繩釣　	其他鰹類	-
2052	曳繩釣　	其他鰹類	-
2053	一支釣　	其他鰹類	-
2079	其他釣　	其他鰹類	-
2096	籠具　	其他鰹類	-
2097	珊瑚　	其他鰹類	-
2098	飛魚卵漁業　	其他鰹類	54
2099	其他近海漁業　	其他鰹類	-
3000	沿岸漁業合計	其他鰹類	-
3001	定置漁具　	其他鰹類	-
3002	地曳網　	其他鰹類	-
3003	焚寄網　	其他鰹類	-
3004	刺網　	其他鰹類	-
3005	追逐網　	其他鰹類	-
3006	流袋網　	其他鰹類	-
3007	魩鱙漁業　	其他鰹類	-
3008	櫻花蝦漁業　	其他鰹類	-
3009	赤尾青蝦漁業　	其他鰹類	-
3049	其他網　	其他鰹類	-
3050	一支釣　	其他鰹類	-
3051	雜魚延繩釣　	其他鰹類	-
3079	其他釣　	其他鰹類	-
3096	鏢旗魚　	其他鰹類	-
3097	遊漁　	其他鰹類	-
3098	籠具　	其他鰹類	-
3099	其他沿岸漁業　	其他鰹類	-
4000	內陸漁撈合計	其他鰹類	-
4001	河川漁撈　	其他鰹類	-
4002	水庫漁撈　	其他鰹類	-
4099	其他內陸漁撈　	其他鰹類	-
5000	海面養殖合計	其他鰹類	-
5001	淺海養殖　	其他鰹類	-
5002	箱網養殖　	其他鰹類	-
5099	其他海面養殖　	其他鰹類	-
6000	內陸養殖合計	其他鰹類	-
6001	鹹水魚塭　	其他鰹類	-
6002	淡水魚塭　	其他鰹類	-
6003	箱網養殖　	其他鰹類	-
6004	觀賞魚養殖　	其他鰹類	-
6099	其他內陸養殖　	其他鰹類	-
0000	總 計	康氏馬加鰆	16,774
1000	遠洋漁業合計	康氏馬加鰆	16,459
1001	單船拖網　	康氏馬加鰆	-
1002	雙船拖網　	康氏馬加鰆	-
1003	鰹鮪圍網　	康氏馬加鰆	-
1004	秋刀魚棒受網　	康氏馬加鰆	-
1050	鮪延繩釣　	康氏馬加鰆	16,459
1051	魷釣　	康氏馬加鰆	-
1099	其他遠洋漁業　	康氏馬加鰆	-
2000	近海漁業合計	康氏馬加鰆	312
2001	巾著網　	康氏馬加鰆	-
2002	鯖鰺圍網　	康氏馬加鰆	-
2003	棒受網　	康氏馬加鰆	-
2004	中小拖網　	康氏馬加鰆	-
2005	刺網　	康氏馬加鰆	-
2006	扒網　	康氏馬加鰆	-
2049	其他網　	康氏馬加鰆	-
2050	鮪延繩釣　	康氏馬加鰆	311
2051	雜魚延繩釣　	康氏馬加鰆	0
2052	曳繩釣　	康氏馬加鰆	-
2053	一支釣　	康氏馬加鰆	1
2079	其他釣　	康氏馬加鰆	-
2096	籠具　	康氏馬加鰆	-
2097	珊瑚　	康氏馬加鰆	-
2098	飛魚卵漁業　	康氏馬加鰆	-
2099	其他近海漁業　	康氏馬加鰆	-
3000	沿岸漁業合計	康氏馬加鰆	3
3001	定置漁具　	康氏馬加鰆	0
3002	地曳網　	康氏馬加鰆	-
3003	焚寄網　	康氏馬加鰆	-
3004	刺網　	康氏馬加鰆	1
3005	追逐網　	康氏馬加鰆	-
3006	流袋網　	康氏馬加鰆	-
3007	魩鱙漁業　	康氏馬加鰆	-
3008	櫻花蝦漁業　	康氏馬加鰆	-
3009	赤尾青蝦漁業　	康氏馬加鰆	-
3049	其他網　	康氏馬加鰆	-
3050	一支釣　	康氏馬加鰆	2
3051	雜魚延繩釣　	康氏馬加鰆	-
3079	其他釣　	康氏馬加鰆	-
3096	鏢旗魚　	康氏馬加鰆	-
3097	遊漁　	康氏馬加鰆	-
3098	籠具　	康氏馬加鰆	-
3099	其他沿岸漁業　	康氏馬加鰆	-
4000	內陸漁撈合計	康氏馬加鰆	-
4001	河川漁撈　	康氏馬加鰆	-
4002	水庫漁撈　	康氏馬加鰆	-
4099	其他內陸漁撈　	康氏馬加鰆	-
5000	海面養殖合計	康氏馬加鰆	-
5001	淺海養殖　	康氏馬加鰆	-
5002	箱網養殖　	康氏馬加鰆	-
5099	其他海面養殖　	康氏馬加鰆	-
6000	內陸養殖合計	康氏馬加鰆	-
6001	鹹水魚塭　	康氏馬加鰆	-
6002	淡水魚塭　	康氏馬加鰆	-
6003	箱網養殖　	康氏馬加鰆	-
6004	觀賞魚養殖　	康氏馬加鰆	-
6099	其他內陸養殖　	康氏馬加鰆	-
0000	總 計	日本馬加鰆	13,423
1000	遠洋漁業合計	日本馬加鰆	8,406
1001	單船拖網　	日本馬加鰆	-
1002	雙船拖網　	日本馬加鰆	-
1003	鰹鮪圍網　	日本馬加鰆	-
1004	秋刀魚棒受網　	日本馬加鰆	-
1050	鮪延繩釣　	日本馬加鰆	8,406
1051	魷釣　	日本馬加鰆	-
1099	其他遠洋漁業　	日本馬加鰆	-
2000	近海漁業合計	日本馬加鰆	4,289
2001	巾著網　	日本馬加鰆	2
2002	鯖鰺圍網　	日本馬加鰆	-
2003	棒受網　	日本馬加鰆	-
2004	中小拖網　	日本馬加鰆	94
2005	刺網　	日本馬加鰆	12
2006	扒網　	日本馬加鰆	-
2049	其他網　	日本馬加鰆	5
2050	鮪延繩釣　	日本馬加鰆	3,820
2051	雜魚延繩釣　	日本馬加鰆	202
2052	曳繩釣　	日本馬加鰆	37
2053	一支釣　	日本馬加鰆	116
2079	其他釣　	日本馬加鰆	-
2096	籠具　	日本馬加鰆	-
2097	珊瑚　	日本馬加鰆	-
2098	飛魚卵漁業　	日本馬加鰆	-
2099	其他近海漁業　	日本馬加鰆	-
3000	沿岸漁業合計	日本馬加鰆	729
3001	定置漁具　	日本馬加鰆	220
3002	地曳網　	日本馬加鰆	-
3003	焚寄網　	日本馬加鰆	-
3004	刺網　	日本馬加鰆	300
3005	追逐網　	日本馬加鰆	-
3006	流袋網　	日本馬加鰆	-
3007	魩鱙漁業　	日本馬加鰆	-
3008	櫻花蝦漁業　	日本馬加鰆	-
3009	赤尾青蝦漁業　	日本馬加鰆	-
3049	其他網　	日本馬加鰆	-
3050	一支釣　	日本馬加鰆	6
3051	雜魚延繩釣　	日本馬加鰆	201
3079	其他釣　	日本馬加鰆	2
3096	鏢旗魚　	日本馬加鰆	-
3097	遊漁　	日本馬加鰆	-
3098	籠具　	日本馬加鰆	-
3099	其他沿岸漁業　	日本馬加鰆	-
4000	內陸漁撈合計	日本馬加鰆	-
4001	河川漁撈　	日本馬加鰆	-
4002	水庫漁撈　	日本馬加鰆	-
4099	其他內陸漁撈　	日本馬加鰆	-
5000	海面養殖合計	日本馬加鰆	-
5001	淺海養殖　	日本馬加鰆	-
5002	箱網養殖　	日本馬加鰆	-
5099	其他海面養殖　	日本馬加鰆	-
6000	內陸養殖合計	日本馬加鰆	-
6001	鹹水魚塭　	日本馬加鰆	-
6002	淡水魚塭　	日本馬加鰆	-
6003	箱網養殖　	日本馬加鰆	-
6004	觀賞魚養殖　	日本馬加鰆	-
6099	其他內陸養殖　	日本馬加鰆	-
0000	總 計	其他鰆類	17
1000	遠洋漁業合計	其他鰆類	-
1001	單船拖網　	其他鰆類	-
1002	雙船拖網　	其他鰆類	-
1003	鰹鮪圍網　	其他鰆類	-
1004	秋刀魚棒受網　	其他鰆類	-
1050	鮪延繩釣　	其他鰆類	-
1051	魷釣　	其他鰆類	-
1099	其他遠洋漁業　	其他鰆類	-
2000	近海漁業合計	其他鰆類	17
2001	巾著網　	其他鰆類	-
2002	鯖鰺圍網　	其他鰆類	-
2003	棒受網　	其他鰆類	14
2004	中小拖網　	其他鰆類	-
2005	刺網　	其他鰆類	-
2006	扒網　	其他鰆類	3
2049	其他網　	其他鰆類	-
2050	鮪延繩釣　	其他鰆類	-
2051	雜魚延繩釣　	其他鰆類	-
