採樣分區,測站名稱,水體分類等級,採樣日期,測站編號,水溫,酸鹼值,濁度,氣溫,溶氧(電極法),氨氮,硝酸鹽氮,亞硝酸鹽氮,鹽度,矽酸鹽,溶氧(滴定法),溶氧飽和度,正磷酸鹽,大腸桿菌群,腸球菌群,備註
,,,,,℃,,NTU,℃,mg/L,mg/L,mg/L,mg/L,psu,mg/L,mg/L,%,mg/L,CFU/100mL,MPN/100mL
后湖海濱公園,后湖海濱公園左,乙,2010/8/23 上午 10:10:00,6141,28.5,8.2,19,29.4,6.4,0.02,0.06,0.001,33.1,0.112,6.4,98.8,0.040,20,<10
沙珠灣,沙珠灣左,甲,2010/8/23 上午 10:06:00,6191,28.9,8.1,14,30.8,5.9,0.02,0.03,0.002,33.2,0.670,6.0,91.7,0.036,210,85
沙珠灣,沙珠灣中,甲,2010/8/23 上午 09:56:00,6192,28.6,8.1,11,30.6,6.1,0.02,0.03,0.002,33.6,0.657,6.2,96.2,0.034,55,31
沙珠灣,沙珠灣右,甲,2010/8/23 上午 09:40:00,6193,28.3,8.1,11,30.6,6.1,0.01,<0.01,0.002,33.2,0.558,6.2,95.2,0.044,<10,<10
通霄海水浴場,通霄海水浴場左,乙,2010/8/23 上午 09:30:00,6041,29.6,8.2,2.9,31.7,6.3,0.01,0.01,<0.001,33.2,0.247,6.2,98.6,0.010,100,10
通霄海水浴場,通霄海水浴場中,乙,2010/8/23 上午 09:15:00,6042,29.5,8.2,7.8,31.7,6.3,0.01,0.01,<0.001,33.2,0.257,6.1,98.9,0.013,85,<10
通霄海水浴場,通霄海水浴場右,乙,2010/8/23 上午 09:00:00,6043,29.5,8.2,5.5,31.7,6.3,0.02,0.01,<0.001,33.2,0.252,6.1,99.2,0.010,55,10
白沙灣海水浴場,白沙灣海水浴場左,乙,2010/8/23 上午 08:46:00,6121,28.5,8.1,6.9,30.2,7.0,0.03,0.08,0.005,33.2,0.411,6.8,106.3,0.049,30,20
白沙灣海水浴場,白沙灣海水浴場中,乙,2010/8/23 上午 08:37:00,6122,28.5,8.1,6.4,30.3,6.4,0.05,0.08,0.005,33.4,0.401,6.2,98.0,0.053,55,41
白沙灣海水浴場,白沙灣海水浴場右,乙,2010/8/23 上午 08:25:00,6123,28.7,8.1,8.2,30.4,6.5,0.02,0.07,0.005,33.1,0.454,6.3,99.6,0.032,110,31
