採樣分區,測站名稱,水體分類等級,採樣日期,測站編號,採樣深度,氣溫,水溫,鹽度,酸鹼值,溶氧(滴定法),溶氧(電極法),溶氧飽和度,懸浮固體,葉綠素a,氨氮,硝酸鹽氮,正磷酸鹽,亞硝酸鹽氮,矽酸鹽,鎘,鉻,銅,鋅,鉛,汞,備註
,,,,,m,℃,℃,psu,,mg/L,mg/L,%,mg/L,μg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
台北沿海海域(乙),深澳發電廠外海,乙,2006/5/4 上午 09:45:00,5133,1.0,25.3,25.3,34.4,8.3,6.7,6.9,102.7,<2.0,0.7,<0.02,0.01,0.006,0.002,0.22,0.000026,<0.0010,0.0003,0.0025,<0.0002,<0.0003
台北沿海海域(乙),淡水河口外4海浬處,乙,2006/11/8 下午 01:00:00,5134,1.0,28.1,25.1,35.2,8.2,6.6,6.5,94.9,4.6,0.4,<0.02,0.02,0.033,0.009,0.21,0.000004,0.001080,0.000792,0.002170,0.000477,<0.0003
台北沿海海域(乙),淡水河口外4海浬處,乙,2006/8/7 下午 01:50:00,5134,1.0,30.4,30.2,34.0,8.3,6.4,6.5,104.7,4.0,2.0,<0.02,<0.01,0.007,0.002,<0.05,0.000014,0.001080,0.002390,0.002920,<0.0002,<0.0003
台北沿海海域(乙),淡水河口外4海浬處,乙,2006/5/4 下午 01:15:00,5134,1.0,27.9,26.0,32.4,8.3,6.5,6.6,98.0,6.5,0.6,0.10,0.07,0.042,0.012,0.59,0.000012,<0.0010,0.0009,0.0024,<0.0002,<0.0003
台北沿海海域(乙),林口發電廠,乙,2006/11/9 上午 06:50:00,5135,1.0,26.5,23.9,34.4,8.2,6.5,6.6,93.7,21.6,1.5,0.10,0.06,0.069,0.053,0.57,<0.000001,<0.001000,0.000959,0.003560,0.000298,<0.0003
台北沿海海域(乙),林口發電廠,乙,2006/8/8 上午 07:20:00,5135,1.0,29.6,29.9,33.6,8.3,6.9,7.0,111.2,4.3,6.7,0.04,<0.01,0.006,0.004,<0.05,0.000034,<0.001000,0.000881,0.007740,0.000234,<0.0003
台北沿海海域(乙),林口發電廠,乙,2006/5/5 上午 07:35:00,5135,1.0,25.9,25.3,33.1,8.2,6.3,6.4,94.4,10.9,1.0,0.10,0.09,0.054,0.014,0.53,0.000017,<0.0010,0.0010,0.0058,<0.0002,<0.0003
台北沿海海域(乙),深澳發電廠,乙,2006/11/8 上午 09:35:00,5136,1.0,26.3,24.5,35.0,8.2,6.7,6.6,95.6,3.4,0.7,<0.02,0.03,0.024,0.005,0.28,<0.000001,0.001020,0.000739,0.004820,<0.0002,<0.0003
台北沿海海域(乙),深澳發電廠,乙,2006/8/7 上午 10:00:00,5136,1.0,28.7,31.4,34.6,8.2,6.7,6.6,108.5,3.8,0.7,0.03,<0.01,0.006,0.001,0.12,0.000014,0.001020,0.000437,0.003240,<0.0002,<0.0003
台北沿海海域(乙),深澳發電廠,乙,2006/5/4 上午 09:55:00,5136,1.0,26.6,28.9,34.1,8.3,6.6,6.8,107.6,<2.0,0.2,0.04,0.02,0.005,0.002,0.35,0.000013,<0.0010,0.0008,0.0029,<0.0002,<0.0003
