TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3
Polygon,555593994,555593994,1,Chachayalaishan,茶茶牙賴山野生動物重要棲息環境,野生動物重要棲息環境,Major Wildlife Habitat,National,IV,Not Applicable,0,0,0,20.06811,20.1680756974241,Not Applicable,0,Designated,2000,Federal or national ministry or agency,Not Reported,Forestry Bureau,Not Reported,State Verified,1877,CN-71,TWN,TWN
Polygon,555594014,555594014,1,Shuang-guei Lake,雙鬼湖野生動物重要棲息環境,野生動物重要棲息環境,Major Wildlife Habitat,National,IV,Not Applicable,0,0,0,489.028399,491.427883594696,Not Applicable,0,Designated,2000,Federal or national ministry or agency,Not Reported,Forestry Bureau,Not Reported,State Verified,1877,CN-71,TWN,TWN
Polygon,555594008,555594008,1,Li-jia,利嘉野生動物重要棲息環境,野生動物重要棲息環境,Major Wildlife Habitat,National,IV,Not Applicable,0,0,0,10.301781,10.3524118524172,Not Applicable,0,Designated,2000,Federal or national ministry or agency,Not Reported,Forestry Bureau,Not Reported,State Verified,1877,CN-71,TWN,TWN
Polygon,555593997,555593997,1,Coastal Mountain Range,海岸山脈野生動物重要棲息環境,野生動物重要棲息環境,Major Wildlife Habitat,National,IV,Not Applicable,0,0,0,32.712284,32.8701273306979,Not Applicable,0,Designated,2000,Federal or national ministry or agency,Not Reported,Forestry Bureau,Not Reported,State Verified,1877,CN-71,TWN,TWN
Polygon,555594015,555594015,1,Shuei-lian,水璉野生動物重要棲息環境,野生動物重要棲息環境,Major Wildlife Habitat,National,IV,Not Applicable,0,0,2.10807357334116,3.385296,3.40107504806919,Not Applicable,0,Designated,2001,Federal or national ministry or agency,Not Reported,Forestry Bureau,Not Reported,State Verified,1877,CN-71,TWN,TWN
Polygon,555594025,555594025,1,Tashan,塔山野生動物重要棲息環境,野生動物重要棲息環境,Major Wildlife Habitat,National,IV,Not Applicable,0,0,0,7.411023,7.44643752129456,Not Applicable,0,Designated,2001,Federal or national ministry or agency,Not Reported,Forestry Bureau,Not Reported,State Verified,1877,CN-71,TWN,TWN
Polygon,555594030,555594030,1,Yunlin Huben Fairy Pitta,雲林湖本八色鳥野生動物重要棲息環境,野生動物重要棲息環境,Major Wildlife Habitat,National,IV,Not Applicable,0,0,0,17.378932,17.4610043555484,Not Applicable,0,Designated,2008,Federal or national ministry or agency,Not Reported,Forestry Bureau,Not Reported,State Verified,1877,CN-71,TWN,TWN
Polygon,555594023,555594023,1,Taoyuan Gaorong,桃園高榮野生動物重要棲息環境,野生動物重要棲息環境,Major Wildlife Habitat,National,IV,Not Applicable,0,0,0,0.011131,0.0111810751052133,Not Applicable,0,Designated,2011,Federal or national ministry or agency,Not Reported,Forestry Bureau,Not Reported,State Verified,1877,CN-71,TWN,TWN
Polygon,17747,17747,1,Guandu,關渡自然保留區,自然保留區,Nature Reserve,National,Ia,Not Applicable,1,0,0,0.476934,0.47905980493526,Not Reported,0,Designated,1986,Federal or national ministry or agency,Not Reported,Forestry Bureau,Not Reported,State Verified,1877,CN-71,TWN,TWN
Polygon,17754,17754,1,Pinglin Taiwan Keteleeria,坪林台灣油杉自然保留區,自然保留區,Nature Reserve,National,Ia,Not Applicable,0,0,0,13.595388,13.6554773345081,Not Applicable,0,Designated,1986,Federal or national ministry or agency,Not Reported,Forestry Bureau,Not Reported,State Verified,1877,CN-71,TWN,TWN
Polygon,62463,62463,1,Penghu Columnar Basalt,澎湖玄武岩自然保留區,自然保留區,Nature Reserve,National,Ia,Not Applicable,1,0.36971,0.371308498884039,0.36971,0.371308492926996,Not Reported,0,Designated,1992,Federal or national ministry or agency,Not Reported,Forestry Bureau,http://conservation.forest.gov.tw/public/Attachment/52511452671.pdf,State Verified,1877,CN-71,TWN,TWN
Polygon,33630,33630,1,Alishan Taiwan Pleione,阿里山台灣一葉蘭自然保留區,自然保留區,Nature Reserve,National,Ia,Not Applicable,0,0,0,0.578856,0.581623921474597,Not Applicable,0,Designated,1992,Federal or national ministry or agency,Not Reported,Forestry Bureau,Not Reported,State Verified,1877,CN-71,TWN,TWN
Polygon,33632,33632,1,Chuyunshan,出雲山自然保留區,自然保留區,Nature Reserve,National,Ia,Not Applicable,0,0,0,60.41665,60.7110154398157,Not Applicable,0,Designated,1992,Federal or national ministry or agency,Not Reported,Forestry Bureau,Not Reported,State Verified,1877,CN-71,TWN,TWN
Polygon,17755,17755,1,Dawushan,大武山自然保留區,自然保留區,Nature Reserve,National,Ia,Not Applicable,0,0,0,478.482441,480.848125354732,Not Applicable,0,Designated,1988,Federal or national ministry or agency,Not Reported,Forestry Bureau,Not Reported,State Verified,1877,CN-71,TWN,TWN
Polygon,101768,101768,1,Wazihwei,挖子尾自然保留區,自然保留區,Nature Reserve,National,Ia,Not Applicable,1,0,0.0492780384213246,0.140637,0.141263938398458,Not Reported,0,Designated,1994,Federal or national ministry or agency,Not Reported,Forestry Bureau,Not Reported,State Verified,1877,CN-71,TWN,TWN
Polygon,101769,101769,1,Wushihbi Coastal,烏石鼻海岸自然保留區,自然保留區,Nature Reserve,National,Ia,Not Applicable,1,0,2.30043568484976,3.54485,3.5606165022264,Not Reported,0,Designated,1994,Federal or national ministry or agency,Not Reported,Forestry Bureau,Not Reported,State Verified,1877,CN-71,TWN,TWN
Polygon,555593993,555593993,1,Xue-ba,雪霸自然保護區,自然保護區,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,208.698235,209.665719355521,Not Applicable,0,Designated,2006,Federal or national ministry or agency,Not Reported,Forestry Bureau,Not Reported,State Verified,1877,CN-71,TWN,TWN
Polygon,555593991,555593991,1,Jia-xian Sih-de Fossil,甲仙四德化石自然保護區,自然保護區,Forest Reserve,National,III,Not Applicable,0,0,0,4.475041,4.49662151498381,Not Applicable,0,Designated,2006,Federal or national ministry or agency,Not Reported,Forestry Bureau,Not Reported,State Verified,1877,CN-71,TWN,TWN
Polygon,555593992,555593992,1,Shih-ba-luo-han-shan,十八羅漢山自然保護區,自然保護區,Forest Reserve,National,III,Not Applicable,0,0,0,6.392013,6.42306598062542,Not Applicable,0,Designated,2006,Federal or national ministry or agency,Not Reported,Forestry Bureau,Not Reported,State Verified,1877,CN-71,TWN,TWN
Polygon,555593989,555593989,1,Dawu Taiwan Keteleeria,大武台灣油杉自然保護區,自然保護區,Forest Reserve,National,IV,Not Applicable,0,0,0,12.760174,12.8237172073155,Not Applicable,0,Designated,2006,Federal or national ministry or agency,Not Reported,Forestry Bureau,Not Reported,State Verified,1877,CN-71,TWN,TWN
Polygon,17820,17820,1,Penghu County Mao Islet Seabird Refuge,櫻花鉤吻鮭野生動物保護區,野生動物保護區,Wildlife Refuge,National,IV,Not Applicable,1,0.26182,0.343071681460104,0.37825,0.379800748239313,Not Reported,0,Designated,1991,Federal or national ministry or agency,Not Reported,Forestry Bureau,http://conservation.forest.gov.tw/public/Attachment/52511452671.pdf,State Verified,1877,CN-71,TWN,TWN
Polygon,101776,101776,1,Kaohsiung County Sanmin Township Nanzhxian River Wildlife Refuge,高雄縣三民?楠梓仙溪野生動物保護區,野生動物保護區,Wildlife Refuge,National,IV,Not Applicable,0,0,0,1.78249,1.79107981778135,Not Applicable,0,Designated,1993,Federal or national ministry or agency,Not Reported,Forestry Bureau,http://conservation.forest.gov.tw/public/Attachment/34121753071.pdf,State Verified,1877,CN-71,TWN,TWN
Polygon,9286,9286,1,Kenting,墾丁國家公園,國家公園,National Park,National,II,Not Applicable,1,152.0609,160.210847477581,329.273786,330.92756590285,Not Reported,0,Designated,1984,Federal or national ministry or agency,Not Reported,Construction and Planning Agency,http://np.cpami.gov.tw/chinese/index.php?option=com_content&view=category&layout=blog&id=2&Itemid=24&gp=1,State Verified,1877,CN-71,TWN,TWN
Polygon,9287,9287,1,Taroko,太魯閣國家公園,國家公園,National Park,National,II,Not Applicable,0,0,5.8424709039818,980.401996,984.932645224472,Not Applicable,0,Designated,1986,Federal or national ministry or agency,Not Reported,Construction and Planning Agency,http://np.cpami.gov.tw/chinese/index.php?option=com_content&view=category&layout=blog&id=2&Itemid=24&gp=1,State Verified,1877,CN-71,TWN,TWN
Polygon,9025,9025,1,Yangmingshan,陽明山國家公園,國家公園,National Park,National,II,Not Applicable,0,0,0,113.658228,114.16083574036,Not Applicable,0,Designated,1985,Federal or national ministry or agency,Not Reported,Construction and Planning Agency,http://np.cpami.gov.tw/chinese/index.php?option=com_content&view=category&layout=blog&id=2&Itemid=24&gp=1,State Verified,1877,CN-71,TWN,TWN
Polygon,17817,17817,1,Shei-pa,雪霸國家公園,國家公園,National Park,National,II,Not Applicable,0,0,0,769.593605,773.160499794212,Not Applicable,0,Designated,1992,Federal or national ministry or agency,Not Reported,Construction and Planning Agency,http://np.cpami.gov.tw/chinese/index.php?option=com_content&view=category&layout=blog&id=2&Itemid=24&gp=1,State Verified,1877,CN-71,TWN,TWN
Polygon,555594031,555594031,1,Taijiang,台江國家公園,國家公園,National Park,National,II,Not Applicable,1,0,25.1758212586215,47.383542,47.6037837486534,Not Reported,0,Designated,2009,Federal or national ministry or agency,Not Reported,Construction and Planning Agency,http://np.cpami.gov.tw/chinese/index.php?option=com_content&view=category&layout=blog&id=2&Itemid=24&gp=1,State Verified,1877,CN-71,TWN,TWN
Polygon,9030,9030,1,Yushan,玉山國家公園,國家公園,National Park,National,II,Not Applicable,0,0,0,1031.214372,1036.17565993998,Not Applicable,0,Designated,1985,Federal or national ministry or agency,Not Reported,Construction and Planning Agency,http://np.cpami.gov.tw/chinese/index.php?option=com_content&view=category&layout=blog&id=2&Itemid=24&gp=1,State Verified,1877,CN-71,TWN,TWN
Polygon,100024,100024,1,Kinmen,金門國家公園,國家公園,National Park,National,II,Not Applicable,0,0,0,36.316306,36.4202318666248,Not Applicable,0,Designated,1995,Federal or national ministry or agency,Not Reported,Construction and Planning Agency,http://np.cpami.gov.tw/chinese/index.php?option=com_content&view=category&layout=blog&id=2&Itemid=24&gp=1,State Verified,1877,CN-35,TWN,TWN
Polygon,555512092,555512092,1,Dongsha,東沙環礁國家公園,國家公園,National Park,National,II,Not Applicable,1,3534.9898,3600.70072451499,3600.316241,3602.22797342169,Not Reported,0,Designated,2007,Federal or national ministry or agency,Not Reported,Construction and Planning Agency,http://np.cpami.gov.tw/chinese/index.php?option=com_content&view=category&layout=blog&id=2&Itemid=24&gp=1,State Verified,1877,CN-71,TWN,TWN
Polygon,17753,17753,1,Danshuei River Mangrove,淡水河紅樹林自然保留區,自然保留區,Nature Reserve,National,Ia,Not Applicable,1,0.51,0,1.16234,1.16751793303592,Not Reported,0,Designated,1986,Federal or national ministry or agency,Not Reported,Forestry Bureau,Not Reported,State Verified,1877,CN-71,TWN,TWN
Polygon,17748,17748,1,Yuanyang Lake,鴛鴦湖自然保留區,自然保留區,Nature Reserve,National,Ia,Not Applicable,0,0,0,3.711313,3.72826901499059,Not Applicable,0,Designated,1986,Federal or national ministry or agency,Not Reported,Forestry Bureau,Not Reported,State Verified,1877,CN-71,TWN,TWN
