採樣分區,測站名稱,水體分類等級,採樣日期,測站編號,水溫,酸鹼值,濁度,氣溫,溶氧(電極法),氨氮,硝酸鹽氮,亞硝酸鹽氮,鹽度,矽酸鹽,溶氧(滴定法),溶氧飽和度,正磷酸鹽,大腸桿菌群,腸球菌群,備註
,,,,,℃,,NTU,℃,mg/L,mg/L,mg/L,mg/L,psu,mg/L,mg/L,%,mg/L,CFU/100mL,MPN/100mL
大安海水浴場,大安海水浴場中,乙,2002/8/26 上午 08:37:00,6052,28.7,8,65,--,--,--,0.14,0.011,32.8,2.43,--,--,0.026,160,64
大安海水浴場,大安海水浴場左,乙,2002/8/26 上午 08:25:00,6051,28.6,8,70,--,--,--,0.16,0.014,33.4,2.16,--,--,0.026,130,87
黃金海岸休憩海域,黃金海岸休憩海域中,乙,2002/8/26 上午 08:10:00,6072,30.5,8.17,6.4,--,--,--,<0.05,0.001,33.5,0.32,--,--,<0.008,410,<10
黃金海岸休憩海域,黃金海岸休憩海域右,乙,2002/8/26 上午 07:35:00,6073,30.4,8.17,4.8,--,--,--,<0.05,0.002,33.4,0.19,--,--,<0.008,460,99
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域中,甲,2002/8/26 上午 07:13:00,6092,26.3,8.12,6.5,--,--,--,<0.05,0.001,34.5,0.32,--,--,<0.008,75,10
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域左,甲,2002/8/26 上午 07:01:00,6091,26.3,8.12,7.3,--,--,--,<0.05,0.001,34.5,0.1,--,--,<0.008,70,42
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域右,甲,2002/8/26 上午 06:40:00,6093,26.3,8.12,4.7,--,--,--,<0.05,0.003,34.5,0.19,--,--,<0.008,50,10
馬沙溝海水浴場,馬沙溝海水浴場右,甲,2002/8/26 上午 05:10:00,6063,29.2,8.17,7.9,--,--,--,<0.05,<0.001,33,0.19,--,--,<0.008,85,20
馬沙溝海水浴場,馬沙溝海水浴場中,甲,2002/8/26 上午 04:53:00,6062,29.2,8.17,7.1,--,--,--,<0.05,0.002,32.9,0.19,--,--,<0.008,30,10
馬沙溝海水浴場,馬沙溝海水浴場左,甲,2002/8/26 上午 04:38:00,6061,29.2,8.16,7,--,--,--,<0.05,0.003,32.9,0.1,--,--,0.01,35,31
杉原海水浴場,杉原海水浴場右,甲,2002/8/25 下午 06:12:00,6103,30.8,8.15,24,--,--,--,<0.05,0.003,34,0.19,--,--,<0.008,75,<10
杉原海水浴場,杉原海水浴場中,甲,2002/8/25 下午 06:07:00,6102,30.8,8.15,27,--,--,--,<0.05,0.002,34,0.19,--,--,<0.008,100,31
杉原海水浴場,杉原海水浴場左,甲,2002/8/25 下午 06:00:00,6101,30.8,8.15,23,--,--,--,<0.05,0.003,33.9,0.1,--,--,<0.008,15,10
新金山海水浴場,新金山海水浴場右,乙,2002/8/12 下午 01:31:00,6023,20.9,8.1,2.1,--,--,--,0.06,0.003,33,0.31,--,--,0.011,<10,<10
